Red Universitaria de Observatorios Atmosfericos (RUOA)
Atmospheric Observatory Morelia (more), Michoacan
Lat 19.6493 N, Lon 101.2221 W, Alt 1936 masl
Time UTC-6h
Air Quality data
Flags: OK = Reliable data, BDL = Below Detection Limit, OR = Out of Range, OS = Out of Service 
 
Time,O3,O3_flag,SO2,SO2_flag,NO2,NO2_flag,NO,NO_flag,CO,CO_flag,PM10,PM10_flag,PM2.5,PM2.5_flag
yyyy-mm-dd HH:MM:SS,ppb,flag,ppb,flag,ppb,flag,ppb,flag,ppm,flag,ug/m^3,flag,ug/m^3,flag
2019-02-01 00:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS,null,OS
2019-02-01 01:00:00,null,OS,0.57,BDL,null,OS,null,OS,0.28,OK,11.05,OK,null,OS
2019-02-01 02:00:00,null,OS,0.42,BDL,null,OS,null,OS,0.27,OK,6.73,OK,null,OS
2019-02-01 03:00:00,null,OS,0.35,BDL,null,OS,null,OS,0.27,OK,10.31,OK,null,OS
2019-02-01 04:00:00,null,OS,0.23,BDL,null,OS,null,OS,0.32,OK,9.3,OK,null,OS
2019-02-01 05:00:00,null,OS,0.24,BDL,null,OS,null,OS,0.33,OK,10.79,OK,null,OS
2019-02-01 06:00:00,null,OS,0.18,BDL,null,OS,null,OS,0.33,OK,7.15,OK,null,OS
2019-02-01 07:00:00,null,OS,0.28,BDL,null,OS,null,OS,0.26,OK,7.56,OK,null,OS
2019-02-01 08:00:00,null,OS,0.15,BDL,null,OS,null,OS,0.39,OK,12.65,OK,null,OS
2019-02-01 09:00:00,null,OS,0.49,BDL,null,OS,null,OS,0.52,OK,23.24,OK,null,OS
2019-02-01 10:00:00,null,OS,0.58,BDL,null,OS,null,OS,0.29,OK,29.26,OK,null,OS
2019-02-01 11:00:00,null,OS,0.72,BDL,null,OS,null,OS,0.22,OK,18.07,OK,null,OS
2019-02-01 12:00:00,null,OS,0.52,BDL,null,OS,null,OS,0.19,OK,10.58,OK,null,OS
2019-02-01 13:00:00,null,OS,0.51,BDL,null,OS,null,OS,0.19,OK,2.89,BDL,null,OS
2019-02-01 14:00:00,null,OS,0.5,BDL,null,OS,null,OS,0.19,OK,11.69,OK,null,OS
2019-02-01 15:00:00,null,OS,0.58,BDL,null,OS,null,OS,0.19,OK,12.51,OK,null,OS
2019-02-01 16:00:00,null,OS,0.74,BDL,null,OS,null,OS,0.19,OK,15.92,OK,null,OS
2019-02-01 17:00:00,null,OS,0.82,BDL,null,OS,null,OS,0.18,OK,16.43,OK,null,OS
2019-02-01 18:00:00,null,OS,0.66,BDL,null,OS,null,OS,0.18,OK,22.77,OK,null,OS
2019-02-01 19:00:00,null,OS,0.64,BDL,null,OS,null,OS,0.17,OK,28.93,OK,null,OS
2019-02-01 20:00:00,null,OS,0.58,BDL,null,OS,null,OS,0.15,OK,20.77,OK,null,OS
2019-02-01 21:00:00,null,OS,0.95,BDL,null,OS,null,OS,0.16,OK,7.79,OK,null,OS
2019-02-01 22:00:00,null,OS,1.12,OK,null,OS,null,OS,0.24,OK,17.02,OK,null,OS
2019-02-01 23:00:00,null,OS,0.98,BDL,null,OS,null,OS,0.26,OK,16.27,OK,null,OS
2019-02-02 00:00:00,null,OS,0.67,BDL,null,OS,null,OS,0.18,OK,14.95,OK,null,OS
2019-02-02 01:00:00,null,OS,0.56,BDL,null,OS,null,OS,0.17,OK,4.88,OK,null,OS
2019-02-02 02:00:00,null,OS,0.35,BDL,null,OS,null,OS,0.18,OK,8.05,OK,null,OS
2019-02-02 03:00:00,null,OS,0.49,BDL,null,OS,null,OS,0.18,OK,7.27,OK,null,OS
2019-02-02 04:00:00,null,OS,0.29,BDL,null,OS,null,OS,0.19,OK,5.94,OK,null,OS
2019-02-02 05:00:00,null,OS,0.47,BDL,null,OS,null,OS,0.2,OK,5.56,OK,null,OS
2019-02-02 06:00:00,null,OS,0.67,BDL,null,OS,null,OS,0.2,OK,4.3,OK,null,OS
2019-02-02 07:00:00,null,OS,0.63,BDL,null,OS,null,OS,0.22,OK,5.41,OK,null,OS
2019-02-02 08:00:00,null,OS,0.74,BDL,null,OS,null,OS,0.28,OK,16.37,OK,null,OS
2019-02-02 09:00:00,null,OS,0.9,BDL,null,OS,null,OS,0.42,OK,26.26,OK,null,OS
2019-02-02 10:00:00,null,OS,1.13,OK,null,OS,null,OS,0.45,OK,26.06,OK,null,OS
2019-02-02 11:00:00,null,OS,1.32,OK,null,OS,null,OS,0.33,OK,21.68,OK,null,OS
2019-02-02 12:00:00,null,OS,1.37,OK,null,OS,null,OS,0.24,OK,19.75,OK,null,OS
2019-02-02 13:00:00,null,OS,1.81,OK,null,OS,null,OS,0.18,OK,10.57,OK,null,OS
2019-02-02 14:00:00,null,OS,1.3,OK,null,OS,null,OS,0.18,OK,15.46,OK,null,OS
2019-02-02 15:00:00,null,OS,2.11,OK,null,OS,null,OS,0.17,OK,11.63,OK,null,OS
2019-02-02 16:00:00,null,OS,1.32,OK,null,OS,null,OS,0.16,OK,9.47,OK,null,OS
2019-02-02 17:00:00,null,OS,0.96,BDL,null,OS,null,OS,0.17,OK,22.6,OK,null,OS
2019-02-02 18:00:00,null,OS,1.0,OK,null,OS,null,OS,0.17,OK,16.02,OK,null,OS
2019-02-02 19:00:00,null,OS,1.03,OK,null,OS,null,OS,0.16,OK,13.45,OK,null,OS
2019-02-02 20:00:00,null,OS,1.07,OK,null,OS,null,OS,0.16,OK,17.65,OK,null,OS
2019-02-02 21:00:00,null,OS,1.21,OK,null,OS,null,OS,0.21,OK,16.92,OK,null,OS
2019-02-02 22:00:00,null,OS,0.99,BDL,null,OS,null,OS,0.21,OK,16.92,OK,null,OS
2019-02-02 23:00:00,null,OS,0.96,BDL,null,OS,null,OS,0.23,OK,11.42,OK,null,OS
2019-02-03 00:00:00,null,OS,0.94,BDL,null,OS,null,OS,0.29,OK,12.82,OK,null,OS
2019-02-03 01:00:00,null,OS,0.81,BDL,null,OS,null,OS,0.29,OK,12.98,OK,null,OS
2019-02-03 02:00:00,null,OS,0.8,BDL,null,OS,null,OS,0.29,OK,12.85,OK,null,OS
2019-02-03 03:00:00,null,OS,0.78,BDL,null,OS,null,OS,0.3,OK,14.53,OK,null,OS
2019-02-03 04:00:00,null,OS,0.79,BDL,null,OS,null,OS,0.34,OK,15.59,OK,null,OS
2019-02-03 05:00:00,null,OS,0.75,BDL,null,OS,null,OS,0.34,OK,10.03,OK,null,OS
2019-02-03 06:00:00,null,OS,0.69,BDL,null,OS,null,OS,0.32,OK,11.32,OK,null,OS
2019-02-03 07:00:00,null,OS,0.69,BDL,null,OS,null,OS,0.32,OK,8.08,OK,null,OS
2019-02-03 08:00:00,null,OS,0.85,BDL,null,OS,null,OS,0.3,OK,9.17,OK,null,OS
2019-02-03 09:00:00,null,OS,0.93,BDL,null,OS,null,OS,0.35,OK,7.69,OK,null,OS
2019-02-03 10:00:00,null,OS,1.01,OK,null,OS,null,OS,0.32,OK,10.14,OK,null,OS
2019-02-03 11:00:00,null,OS,1.27,OK,null,OS,null,OS,0.3,OK,12.64,OK,null,OS
2019-02-03 12:00:00,null,OS,1.16,OK,null,OS,null,OS,0.3,OK,23.8,OK,null,OS
2019-02-03 13:00:00,null,OS,0.94,BDL,null,OS,null,OS,0.23,OK,15.23,OK,null,OS
2019-02-03 14:00:00,null,OS,1.07,OK,null,OS,null,OS,0.2,OK,13.59,OK,null,OS
2019-02-03 15:00:00,null,OS,1.19,OK,null,OS,null,OS,0.2,OK,10.79,OK,null,OS
2019-02-03 16:00:00,null,OS,1.27,OK,null,OS,null,OS,0.19,OK,15.49,OK,null,OS
2019-02-03 17:00:00,null,OS,1.18,OK,null,OS,null,OS,0.19,OK,14.23,OK,null,OS
2019-02-03 18:00:00,null,OS,1.37,OK,null,OS,null,OS,0.19,OK,27.57,OK,null,OS
2019-02-03 19:00:00,null,OS,1.37,OK,null,OS,null,OS,0.17,OK,21.69,OK,null,OS
2019-02-03 20:00:00,null,OS,1.53,OK,null,OS,null,OS,0.19,OK,16.62,OK,null,OS
2019-02-03 21:00:00,null,OS,1.35,OK,null,OS,null,OS,0.22,OK,22.06,OK,null,OS
2019-02-03 22:00:00,null,OS,1.14,OK,null,OS,null,OS,0.16,OK,16.86,OK,null,OS
2019-02-03 23:00:00,null,OS,1.34,OK,null,OS,null,OS,0.18,OK,11.33,OK,null,OS
2019-02-04 00:00:00,null,OS,1.16,OK,null,OS,null,OS,0.19,OK,13.39,OK,null,OS
2019-02-04 01:00:00,null,OS,0.93,BDL,null,OS,null,OS,0.19,OK,20.56,OK,null,OS
2019-02-04 02:00:00,null,OS,0.88,BDL,null,OS,null,OS,0.19,OK,11.21,OK,null,OS
2019-02-04 03:00:00,null,OS,0.87,BDL,null,OS,null,OS,0.18,OK,10.43,OK,null,OS
2019-02-04 04:00:00,null,OS,0.76,BDL,null,OS,null,OS,0.18,OK,10.4,OK,null,OS
2019-02-04 05:00:00,null,OS,0.72,BDL,null,OS,null,OS,0.19,OK,11.53,OK,null,OS
2019-02-04 06:00:00,null,OS,0.74,BDL,null,OS,null,OS,0.2,OK,4.39,OK,null,OS
2019-02-04 07:00:00,null,OS,0.65,BDL,null,OS,null,OS,0.22,OK,8.94,OK,null,OS
2019-02-04 08:00:00,null,OS,0.64,BDL,null,OS,null,OS,0.26,OK,13.1,OK,null,OS
2019-02-04 09:00:00,null,OS,0.98,BDL,null,OS,null,OS,0.34,OK,17.66,OK,null,OS
2019-02-04 10:00:00,null,OS,1.11,OK,null,OS,null,OS,0.44,OK,28.21,OK,null,OS
2019-02-04 11:00:00,null,OS,1.55,OK,null,OS,null,OS,0.39,OK,26.77,OK,null,OS
2019-02-04 12:00:00,null,OS,1.3,OK,null,OS,null,OS,0.38,OK,24.34,OK,null,OS
2019-02-04 13:00:00,null,OS,1.34,OK,null,OS,null,OS,0.33,OK,21.79,OK,null,OS
2019-02-04 14:00:00,null,OS,1.33,OK,null,OS,null,OS,0.27,OK,19.15,OK,null,OS
2019-02-04 15:00:00,null,OS,1.55,OK,null,OS,null,OS,0.2,OK,19.53,OK,null,OS
2019-02-04 16:00:00,null,OS,1.27,OK,null,OS,null,OS,0.17,OK,14.73,OK,null,OS
2019-02-04 17:00:00,null,OS,1.05,OK,null,OS,null,OS,0.16,OK,14.44,OK,null,OS
2019-02-04 18:00:00,null,OS,1.02,OK,null,OS,null,OS,0.15,OK,19.92,OK,null,OS
2019-02-04 19:00:00,null,OS,1.07,OK,null,OS,null,OS,0.15,OK,23.52,OK,null,OS
2019-02-04 20:00:00,null,OS,1.71,OK,null,OS,null,OS,0.17,OK,25.79,OK,null,OS
2019-02-04 21:00:00,null,OS,1.56,OK,null,OS,null,OS,0.21,OK,23.66,OK,null,OS
