Red Universitaria de Observatorios Atmosfericos (RUOA)
Atmospheric Observatory Hermosillo (erno), Sonora
Lat 29.0814 N, Lon 110.9706 W, Alt 154 masl
Time UTC-7h
Air Quality data
Flags: OK = Reliable data, BDL = Below Detection Limit, OR = Out of Range, OS = Out of Service 
 
Time,O3,O3_flag,SO2,SO2_flag,NO2,NO2_flag,NO,NO_flag,CO,CO_flag,PM10,PM10_flag,PM2.5,PM2.5_flag
yyyy-mm-dd HH:MM:SS,ppb,flag,ppb,flag,ppb,flag,ppb,flag,ppm,flag,ug/m^3,flag,ug/m^3,flag
2021-10-01 00:00:00,13.79,OK,0.52,BDL,-1.86,OR,7.86,OK,null,OS,6.54,OK,-0.7,BDL
2021-10-01 00:01:00,14.16,OK,0.38,BDL,7.82,OK,-0.03,BDL,null,OS,6.44,OK,0.76,BDL
2021-10-01 00:02:00,13.87,OK,0.32,BDL,0.83,OK,-2.29,OR,null,OS,6.37,OK,1.36,BDL
2021-10-01 00:03:00,14.25,OK,0.21,BDL,-5.28,OR,9.19,OK,null,OS,6.76,OK,2.89,BDL
2021-10-01 00:04:00,14.14,OK,0.39,BDL,1.74,OK,-6.27,OR,null,OS,6.79,OK,4.0,OK
2021-10-01 00:05:00,13.75,OK,0.5,BDL,-0.05,BDL,-2.46,OR,null,OS,7.02,OK,5.11,OK
2021-10-01 00:06:00,13.66,OK,0.25,BDL,0.77,OK,1.86,OK,null,OS,8.12,OK,6.07,OK
2021-10-01 00:07:00,13.63,OK,0.14,BDL,4.45,OK,3.85,OK,null,OS,8.81,OK,7.2,OK
2021-10-01 00:08:00,12.91,OK,0.02,BDL,9.78,OK,25.82,OK,null,OS,9.05,OK,8.8,OK
2021-10-01 00:09:00,12.82,OK,0.15,BDL,-5.53,OR,115.06,OK,null,OS,8.59,OK,9.72,OK
2021-10-01 00:10:00,12.66,OK,0.34,BDL,-64.22,OR,220.21,OK,null,OS,8.63,OK,10.95,OK
2021-10-01 00:11:00,13.31,OK,0.14,BDL,-47.84,OR,253.43,OK,null,OS,8.8,OK,12.34,OK
2021-10-01 00:12:00,13.0,OK,-0.08,BDL,-7.45,OR,192.97,OK,null,OS,8.5,OK,13.11,OK
2021-10-01 00:13:00,13.43,OK,-0.03,BDL,21.64,OK,157.91,OK,null,OS,8.19,OK,14.05,OK
2021-10-01 00:14:00,13.64,OK,-0.05,BDL,-40.82,OR,143.57,OK,null,OS,8.29,OK,13.84,OK
