Red Universitaria de Observatorios Atmosfericos (RUOA)
Atmospheric Observatory Hermosillo (erno), Sonora
Lat 29.0814 N, Lon 110.9706 W, Alt 154 masl
Time UTC-7h
Meteorological data
 
TIMESTAMP,Temp_Avg,RH_Avg,WSpeed_Avg,WSpeed_Max,WDir_Avg,WDir_SD,Rain_Tot,Press_Avg,Rad_Avg
yyyy-mm-dd HH:MM:SS,°C,%,m/s,m/s,deg,deg,mm,hPa,W/m^2
2025-02-01 00:00:00,12.9,49.43,0.46,0.5,332.2,4.598,0.0,993.216,-0.99
2025-02-01 00:01:00,12.82,49.9,0.393,0.48,324.8,7.619,0.0,993.264,-1.188
2025-02-01 00:02:00,12.76,50.19,0.423,0.48,318.5,6.238,0.0,993.285,-1.188
2025-02-01 00:03:00,12.71,50.26,0.562,0.69,321.2,3.715,0.0,993.204,-1.307
2025-02-01 00:04:00,12.72,50.35,0.688,0.8,325.5,3.041,0.0,993.292,-1.663
2025-02-01 00:05:00,12.79,50.35,0.813,0.89,325.5,2.753,0.0,993.307,-1.901
2025-02-01 00:06:00,12.9,50.01,0.893,0.96,321.3,3.496,0.0,993.314,-2.139
2025-02-01 00:07:00,12.9,49.75,0.885,1.03,320.3,3.197,0.0,993.457,-2.258
2025-02-01 00:08:00,12.93,49.79,0.955,1.06,314.8,2.733,0.0,993.362,-2.614
2025-02-01 00:09:00,13.02,49.8,0.727,0.78,294.2,8.65,0.0,993.349,-2.218
2025-02-01 00:10:00,13.05,49.9,0.64,0.7,272.8,3.387,0.0,993.274,-2.139
2025-02-01 00:11:00,13.03,49.93,0.557,0.59,277.2,6.308,0.0,993.282,-2.099
2025-02-01 00:12:00,13.05,49.67,0.477,0.54,284.2,3.933,0.0,993.153,-1.901
2025-02-01 00:13:00,13.04,49.46,0.54,0.6,276.0,9.14,0.0,993.316,-1.743
2025-02-01 00:14:00,13.07,49.58,0.595,0.72,243.4,12.67,0.0,993.35,-1.663
2025-02-01 00:15:00,13.03,49.49,0.738,0.82,222.0,3.266,0.0,993.147,-1.941
2025-02-01 00:16:00,13.0,49.56,0.803,0.85,225.5,2.061,0.0,993.269,-2.139
2025-02-01 00:17:00,13.01,49.74,0.762,0.92,227.5,2.754,0.0,993.282,-2.139
2025-02-01 00:18:00,12.99,49.77,0.625,0.73,233.1,12.43,0.0,993.323,-2.139
2025-02-01 00:19:00,12.98,49.77,0.67,0.89,210.3,1.599,0.0,993.35,-1.743
2025-02-01 00:20:00,12.91,49.75,0.792,0.92,217.0,6.506,0.0,993.161,-1.663
2025-02-01 00:21:00,12.9,50.07,0.732,0.81,226.0,7.589,0.0,993.317,-1.901
2025-02-01 00:22:00,12.91,50.27,0.688,0.73,246.4,8.35,0.0,993.27,-2.099
2025-02-01 00:23:00,12.95,50.29,0.763,0.87,257.5,4.958,0.0,993.29,-2.139
2025-02-01 00:24:00,12.92,50.16,0.847,0.87,253.8,3.236,0.0,993.317,-2.337
2025-02-01 00:25:00,12.91,50.11,0.925,0.96,249.8,3.337,0.0,993.256,-2.535
2025-02-01 00:26:00,12.91,50.39,0.905,1.02,253.7,2.055,0.0,993.351,-2.614
2025-02-01 00:27:00,12.91,50.66,0.877,0.96,266.3,5.437,0.0,993.229,-2.614
2025-02-01 00:28:00,12.89,50.64,0.883,1.01,271.3,4.533,0.0,993.263,-2.614
2025-02-01 00:29:00,12.96,50.57,1.002,1.03,268.2,2.409,0.0,993.263,-2.495
2025-02-01 00:30:00,12.99,50.77,1.025,1.09,271.0,3.366,0.0,993.338,-2.574
2025-02-01 00:31:00,12.96,50.87,0.978,1.13,275.3,3.682,0.0,993.317,-2.456
2025-02-01 00:32:00,12.95,51.14,1.087,1.26,274.7,4.92,0.0,993.297,-2.218
2025-02-01 00:33:00,12.95,51.52,1.072,1.26,279.8,6.618,0.0,993.331,-2.139
2025-02-01 00:34:00,12.95,51.34,0.982,1.14,286.7,7.201,0.0,993.236,-2.416
2025-02-01 00:35:00,12.95,51.83,0.942,1.04,292.7,4.459,0.0,993.317,-2.139
2025-02-01 00:36:00,12.94,51.63,0.948,1.01,293.5,2.062,0.0,993.378,-2.139
2025-02-01 00:37:00,12.95,50.84,0.922,0.96,302.5,5.188,0.0,993.236,-2.139
2025-02-01 00:38:00,12.91,50.57,1.083,1.15,308.3,2.134,0.0,993.297,-2.535
2025-02-01 00:39:00,12.89,50.46,1.05,1.21,314.8,2.967,0.0,993.324,-2.535
2025-02-01 00:40:00,13.0,50.43,1.098,1.24,317.0,3.266,0.0,993.277,-2.535
2025-02-01 00:41:00,12.96,50.37,1.203,1.3,324.2,1.772,0.0,993.338,-2.614
2025-02-01 00:42:00,12.95,50.35,0.935,1.09,319.8,5.078,0.0,993.277,-2.376
2025-02-01 00:43:00,13.0,50.35,1.045,1.28,310.8,4.738,0.0,993.236,-2.139
2025-02-01 00:44:00,12.99,50.44,0.933,1.1,321.1,7.858,0.0,993.358,-2.06
2025-02-01 00:45:00,13.0,50.54,0.947,1.25,336.8,6.034,0.0,993.331,-1.862
2025-02-01 00:46:00,12.88,50.69,1.313,1.4,331.5,2.813,0.0,993.372,-1.862
2025-02-01 00:47:00,12.76,51.2,1.478,1.63,330.0,3.265,0.0,993.25,-2.376
2025-02-01 00:48:00,12.65,51.53,1.197,1.34,331.8,3.847,0.0,993.358,-2.535
2025-02-01 00:49:00,12.66,51.57,1.333,1.44,332.7,4.569,0.0,993.284,-2.218
2025-02-01 00:50:00,12.73,51.34,1.497,1.54,334.0,2.236,0.0,993.351,-2.574
2025-02-01 00:51:00,12.78,51.1,1.413,1.52,335.5,2.5,0.0,993.297,-2.574
2025-02-01 00:52:00,12.89,51.02,1.302,1.34,338.8,2.672,0.0,993.277,-2.139
2025-02-01 00:53:00,12.86,50.98,1.153,1.23,341.7,2.981,0.0,993.433,-1.98
2025-02-01 00:54:00,12.84,51.01,1.147,1.21,331.7,3.399,0.0,993.324,-1.664
2025-02-01 00:55:00,12.84,51.01,1.282,1.54,318.8,6.199,0.0,993.433,-1.664
2025-02-01 00:56:00,12.83,50.96,1.46,1.7,306.3,3.636,0.0,993.562,-2.06
2025-02-01 00:57:00,12.83,51.07,1.642,1.8,294.3,6.574,0.0,993.467,-2.139
2025-02-01 00:58:00,12.8,51.27,1.68,1.91,285.5,3.819,0.0,993.514,-2.218
2025-02-01 00:59:00,12.77,51.84,1.99,2.33,285.7,7.564,0.0,993.494,-2.416
2025-02-01 01:00:00,12.76,51.77,1.95,2.17,286.0,6.758,0.0,993.677,-2.535
2025-02-01 01:01:00,12.73,51.5,1.992,2.44,286.7,5.735,0.0,993.541,-2.574
2025-02-01 01:02:00,12.77,51.3,2.082,2.39,280.7,8.18,0.0,993.589,-2.376
2025-02-01 01:03:00,12.82,51.1,2.063,2.45,288.7,3.144,0.0,993.643,-2.614
2025-02-01 01:04:00,12.8,51.08,2.037,2.28,290.5,5.763,0.0,993.514,-2.456
2025-02-01 01:05:00,12.8,50.95,1.673,1.98,288.2,4.669,0.0,993.629,-2.099
2025-02-01 01:06:00,12.85,50.89,1.423,1.73,293.0,4.863,0.0,993.595,-1.664
2025-02-01 01:07:00,12.87,51.03,1.038,1.3,299.8,6.987,0.0,993.507,-1.505
2025-02-01 01:08:00,12.8,51.2,0.9,1.05,314.2,6.668,0.0,993.521,-1.188
2025-02-01 01:09:00,12.76,51.32,1.05,1.24,330.6,10.75,0.0,993.467,-1.188
2025-02-01 01:10:00,12.7,51.43,1.077,1.19,322.7,9.3,0.0,993.568,-1.228
2025-02-01 01:11:00,12.65,51.67,1.24,1.29,321.5,1.708,0.0,993.446,-1.545
2025-02-01 01:12:00,12.61,51.65,1.413,1.6,309.8,1.572,0.0,993.568,-1.822
2025-02-01 01:13:00,12.59,51.54,1.613,1.89,315.5,3.989,0.0,993.629,-2.139
2025-02-01 01:14:00,12.64,51.43,1.607,1.85,319.0,5.626,0.0,993.69,-2.218
2025-02-01 01:15:00,12.67,51.42,1.443,1.76,319.3,5.525,0.0,993.622,-2.139
2025-02-01 01:16:00,12.68,51.34,1.467,1.67,316.0,14.55,0.0,993.541,-2.06
2025-02-01 01:17:00,12.69,51.36,1.605,2.15,321.5,6.524,0.0,993.683,-1.901
2025-02-01 01:18:00,12.68,51.43,1.707,2.28,328.0,7.695,0.0,993.589,-1.703
2025-02-01 01:19:00,12.65,51.46,1.908,2.06,334.2,5.271,0.0,993.575,-1.901
2025-02-01 01:20:00,12.6,51.61,1.777,2.12,337.8,5.079,0.0,993.643,-1.743
2025-02-01 01:21:00,12.57,51.81,1.512,1.67,340.2,3.932,0.0,993.636,-1.545
2025-02-01 01:22:00,12.52,52.01,1.495,1.62,346.3,7.737,0.0,993.738,-1.267
2025-02-01 01:23:00,12.5,52.13,1.52,1.87,345.7,3.813,0.0,993.656,-1.188
2025-02-01 01:24:00,12.42,52.24,1.522,1.95,352.7,8.17,0.0,993.643,-1.188
2025-02-01 01:25:00,12.39,52.27,1.483,1.72,347.2,12.6,0.0,993.616,-1.188
2025-02-01 01:26:00,12.36,52.3,1.765,2.18,352.2,2.409,0.0,993.622,-1.188
2025-02-01 01:27:00,12.43,52.3,1.565,1.88,339.8,7.424,0.0,993.602,-1.584
2025-02-01 01:28:00,12.38,52.17,1.58,2.01,326.3,9.39,0.0,993.677,-1.703
2025-02-01 01:29:00,12.42,52.03,1.778,2.4,328.7,4.884,0.0,993.65,-1.901
2025-02-01 01:30:00,12.45,51.9,1.808,2.02,328.7,3.59,0.0,993.643,-2.139
2025-02-01 01:31:00,12.47,51.86,1.778,2.03,339.0,3.829,0.0,993.717,-1.901
2025-02-01 01:32:00,12.47,51.86,1.645,1.96,335.5,4.499,0.0,993.697,-1.743
2025-02-01 01:33:00,12.47,51.88,1.348,1.62,331.5,3.303,0.0,993.622,-1.862
2025-02-01 01:34:00,12.47,51.86,1.32,1.46,331.8,3.287,0.0,993.744,-1.664
2025-02-01 01:35:00,12.46,51.8,1.472,1.64,336.3,3.901,0.0,993.636,-1.664
2025-02-01 01:36:00,12.48,51.84,1.265,1.37,338.0,2.646,0.0,993.69,-1.664
2025-02-01 01:37:00,12.48,51.88,1.228,1.34,340.5,2.062,0.0,993.717,-1.624
2025-02-01 01:38:00,12.41,51.92,1.392,1.49,344.5,2.291,0.0,993.616,-1.386
2025-02-01 01:39:00,12.38,52.06,1.267,1.41,343.7,2.981,0.0,993.656,-1.188
2025-02-01 01:40:00,12.36,52.11,1.272,1.42,335.8,5.698,0.0,993.663,-1.307
2025-02-01 01:41:00,12.36,52.13,1.522,1.74,330.8,2.911,0.0,993.71,-1.505
2025-02-01 01:42:00,12.33,52.21,1.398,1.54,324.5,3.253,0.0,993.71,-1.664
2025-02-01 01:43:00,12.28,52.19,1.493,1.78,317.3,8.05,0.0,993.562,-2.02
2025-02-01 01:44:00,12.31,52.08,1.428,1.57,313.8,7.196,0.0,993.778,-2.139
2025-02-01 01:45:00,12.28,51.88,1.447,1.76,307.7,3.543,0.0,993.582,-2.139
2025-02-01 01:46:00,12.35,52.0,1.345,1.79,300.7,4.534,0.0,993.805,-2.139
2025-02-01 01:47:00,12.34,52.45,1.03,1.26,306.5,4.272,0.0,993.744,-1.782
2025-02-01 01:48:00,12.34,52.82,0.802,0.99,302.4,11.65,0.0,993.683,-1.426
2025-02-01 01:49:00,12.34,52.87,1.232,1.53,300.0,4.434,0.0,993.575,-1.703
2025-02-01 01:50:00,12.33,52.78,1.117,1.41,287.3,8.01,0.0,993.555,-1.743
2025-02-01 01:51:00,12.31,52.43,0.833,1.18,298.8,9.06,0.0,993.562,-1.664
2025-02-01 01:52:00,12.34,52.32,1.03,1.15,324.3,9.79,0.0,993.453,-1.664
2025-02-01 01:53:00,12.3,52.59,0.668,0.82,335.8,10.88,0.0,993.629,-1.584
2025-02-01 01:54:00,12.25,52.47,0.405,0.49,322.6,14.93,0.0,993.446,-0.911
2025-02-01 01:55:00,12.16,52.44,0.555,0.65,320.8,8.66,0.0,993.467,-1.03
2025-02-01 01:56:00,12.08,52.73,0.532,0.61,317.3,6.869,0.0,993.467,-1.188
2025-02-01 01:57:00,11.91,52.84,0.448,0.61,286.2,9.89,0.0,993.385,-1.188
2025-02-01 01:58:00,11.89,53.29,0.488,0.65,263.7,6.046,0.0,993.46,-1.188
2025-02-01 01:59:00,11.85,53.69,0.632,0.79,276.2,9.09,0.0,993.358,-1.267
2025-02-01 02:00:00,11.76,53.78,0.593,0.64,287.5,6.422,0.0,993.44,-1.465
2025-02-01 02:01:00,11.78,53.69,0.75,0.81,281.5,7.868,0.0,993.48,-1.664
2025-02-01 02:02:00,11.84,53.57,0.878,0.94,281.0,3.265,0.0,993.378,-1.862
2025-02-01 02:03:00,11.83,53.58,1.015,1.15,278.5,2.814,0.0,993.467,-2.139
2025-02-01 02:04:00,11.83,53.5,0.932,1.11,276.2,4.486,0.0,993.426,-2.139
2025-02-01 02:05:00,11.88,53.44,0.895,0.94,277.8,6.865,0.0,993.399,-2.06
2025-02-01 02:06:00,11.83,53.49,0.837,0.94,269.3,5.644,0.0,993.372,-2.02
2025-02-01 02:07:00,11.9,53.56,0.775,0.88,262.8,13.92,0.0,993.25,-2.099
2025-02-01 02:08:00,11.86,53.54,0.563,0.66,262.6,11.56,0.0,993.326,-1.862
2025-02-01 02:09:00,11.78,53.59,0.305,0.64,277.4,19.66,0.0,993.245,-1.465
2025-02-01 02:10:00,11.73,53.78,0.192,0.32,283.4,27.86,0.0,993.238,-0.871
2025-02-01 02:11:00,11.62,53.79,0.072,0.11,252.3,60.57,0.0,993.324,-0.634
2025-02-01 02:12:00,11.57,53.93,0.1,0.16,293.7,89.0,0.0,993.189,-0.673
2025-02-01 02:13:00,11.53,54.24,0.138,0.2,102.3,73.07,0.0,993.296,-0.673
2025-02-01 02:14:00,11.44,54.54,0.443,0.85,82.0,14.16,0.0,993.255,-0.792
2025-02-01 02:15:00,11.44,54.83,0.192,0.23,37.93,20.12,0.0,993.281,-0.832
2025-02-01 02:16:00,11.37,54.9,0.323,0.39,322.7,11.47,0.0,993.207,-0.951
2025-02-01 02:17:00,11.31,54.81,0.415,0.47,301.7,3.144,0.0,993.158,-1.386
2025-02-01 02:18:00,11.33,54.83,0.563,0.63,308.8,3.89,0.0,993.192,-1.822
2025-02-01 02:19:00,11.38,54.68,0.592,0.69,327.2,6.939,0.0,993.3,-2.139
2025-02-01 02:20:00,11.51,54.37,0.602,0.66,325.3,5.467,0.0,993.293,-2.139
2025-02-01 02:21:00,11.58,54.12,0.695,0.76,312.0,2.236,0.0,993.205,-2.258
2025-02-01 02:22:00,11.67,53.94,0.763,0.81,319.0,2.582,0.0,993.171,-2.575
2025-02-01 02:23:00,11.7,53.82,0.76,0.82,328.8,2.91,0.0,993.224,-2.654
2025-02-01 02:24:00,11.78,53.63,0.577,0.68,328.3,2.211,0.0,993.157,-2.456
2025-02-01 02:25:00,11.8,53.46,0.548,0.59,345.3,9.76,0.0,993.272,-2.06
2025-02-01 02:26:00,11.79,53.74,0.668,0.75,11.35,7.378,0.0,993.231,-1.664
2025-02-01 02:27:00,11.42,54.59,0.568,0.71,5.333,1.885,0.0,993.202,-1.465
2025-02-01 02:28:00,11.18,55.78,0.243,0.39,18.03,28.4,0.0,993.185,-1.109
2025-02-01 02:29:00,11.04,56.26,0.327,0.48,41.64,14.61,0.0,993.097,-0.753
2025-02-01 02:30:00,11.03,56.33,0.492,0.53,30.67,3.901,0.0,993.159,-1.149
2025-02-01 02:31:00,10.94,56.53,0.383,0.41,350.7,15.75,0.0,993.052,-1.188
2025-02-01 02:32:00,10.85,56.77,0.498,0.56,345.8,5.144,0.0,993.135,-1.307
2025-02-01 02:33:00,10.82,56.79,0.695,0.74,339.5,4.748,0.0,993.222,-1.782
2025-02-01 02:34:00,10.95,56.6,0.543,0.65,325.2,4.979,0.0,993.055,-2.139
2025-02-01 02:35:00,10.99,56.17,0.497,0.52,330.0,8.48,0.0,993.148,-2.139
2025-02-01 02:36:00,11.01,56.14,0.683,0.94,42.35,17.01,0.0,993.118,-1.703
2025-02-01 02:37:00,10.97,56.32,0.605,0.86,49.7,10.25,0.0,993.235,-1.347
