Red Universitaria de Observatorios Atmosfericos (RUOA)
Atmospheric Observatory Juriquilla (jqro), Queretaro
Lat 20.703 N, Lon 100.4473 W, Alt 1945 masl
Time UTC-6h
Air Quality data
Flags: OK = Reliable data, BDL = Below Detection Limit, OR = Out of Range, OS = Out of Service 
 
Time,O3,O3_flag,SO2,SO2_flag,NO2,NO2_flag,NO,NO_flag,CO,CO_flag,PM10,PM10_flag,PM2.5,PM2.5_flag
yyyy-mm-dd HH:MM:SS,ppb,flag,ppb,flag,ppb,flag,ppb,flag,ppm,flag,ug/m^3,flag,ug/m^3,flag
2024-08-01 00:00:00,null,OS,0.79,BDL,null,OS,null,OS,null,OS,49.38,OK,44.77,OK
2024-08-01 00:01:00,null,OS,1.26,OK,null,OS,null,OS,null,OS,49.46,OK,44.77,OK
2024-08-01 00:02:00,null,OS,0.86,BDL,null,OS,null,OS,null,OS,49.18,OK,44.77,OK
2024-08-01 00:03:00,null,OS,0.78,BDL,null,OS,null,OS,null,OS,48.45,OK,44.77,OK
2024-08-01 00:04:00,null,OS,1.04,OK,null,OS,null,OS,null,OS,47.84,OK,44.77,OK
2024-08-01 00:05:00,null,OS,0.9,BDL,null,OS,null,OS,null,OS,47.41,OK,44.77,OK
2024-08-01 00:06:00,null,OS,1.1,OK,null,OS,null,OS,null,OS,47.24,OK,44.77,OK
2024-08-01 00:07:00,null,OS,1.39,OK,null,OS,null,OS,null,OS,47.41,OK,44.77,OK
2024-08-01 00:08:00,null,OS,1.04,OK,null,OS,null,OS,null,OS,47.38,OK,45.22,OK
2024-08-01 00:09:00,null,OS,1.81,OK,null,OS,null,OS,null,OS,47.01,OK,46.78,OK
2024-08-01 00:10:00,null,OS,0.9,BDL,null,OS,null,OS,null,OS,46.39,OK,47.51,OK
2024-08-01 00:11:00,null,OS,0.65,BDL,null,OS,null,OS,null,OS,45.32,OK,48.54,OK
2024-08-01 00:12:00,null,OS,0.62,BDL,null,OS,null,OS,null,OS,44.58,OK,49.01,OK
2024-08-01 00:13:00,null,OS,1.26,OK,null,OS,null,OS,null,OS,43.84,OK,49.5,OK
2024-08-01 00:14:00,null,OS,0.99,BDL,null,OS,null,OS,null,OS,43.57,OK,50.14,OK
2024-08-01 00:15:00,null,OS,0.74,BDL,null,OS,null,OS,null,OS,43.32,OK,50.73,OK
2024-08-01 00:16:00,null,OS,1.59,OK,null,OS,null,OS,null,OS,40.94,OK,50.35,OK
2024-08-01 00:17:00,null,OS,1.55,OK,null,OS,null,OS,null,OS,39.27,OK,50.03,OK
2024-08-01 00:18:00,null,OS,0.97,BDL,null,OS,null,OS,null,OS,38.01,OK,49.76,OK
2024-08-01 00:19:00,null,OS,1.1,OK,null,OS,null,OS,null,OS,36.14,OK,49.72,OK
2024-08-01 00:20:00,null,OS,1.49,OK,null,OS,null,OS,null,OS,33.14,OK,49.64,OK
2024-08-01 00:21:00,null,OS,0.98,BDL,null,OS,null,OS,null,OS,31.3,OK,49.95,OK
2024-08-01 00:22:00,null,OS,0.96,BDL,null,OS,null,OS,null,OS,30.36,OK,50.46,OK
2024-08-01 00:23:00,null,OS,1.05,OK,null,OS,null,OS,null,OS,28.01,OK,50.04,OK
2024-08-01 00:24:00,null,OS,0.89,BDL,null,OS,null,OS,null,OS,24.98,OK,49.79,OK
2024-08-01 00:25:00,null,OS,1.52,OK,null,OS,null,OS,null,OS,22.12,OK,49.84,OK
2024-08-01 00:26:00,null,OS,1.5,OK,null,OS,null,OS,null,OS,19.39,OK,50.15,OK
2024-08-01 00:27:00,null,OS,1.75,OK,null,OS,null,OS,null,OS,17.71,OK,50.29,OK
2024-08-01 00:28:00,null,OS,0.98,BDL,null,OS,null,OS,null,OS,15.01,OK,50.25,OK
2024-08-01 00:29:00,null,OS,1.2,OK,null,OS,null,OS,null,OS,12.6,OK,50.37,OK
2024-08-01 00:30:00,null,OS,0.79,BDL,null,OS,null,OS,null,OS,10.05,OK,50.19,OK
2024-08-01 00:31:00,null,OS,1.17,OK,null,OS,null,OS,null,OS,6.07,OK,49.41,OK
2024-08-01 00:32:00,null,OS,0.84,BDL,null,OS,null,OS,null,OS,4.15,OK,48.12,OK
2024-08-01 00:33:00,null,OS,0.74,BDL,null,OS,null,OS,null,OS,2.7,BDL,47.99,OK
2024-08-01 00:34:00,null,OS,1.1,OK,null,OS,null,OS,null,OS,0.35,BDL,47.34,OK
2024-08-01 00:35:00,null,OS,1.33,OK,null,OS,null,OS,null,OS,-0.36,BDL,45.67,OK
2024-08-01 00:36:00,null,OS,1.3,OK,null,OS,null,OS,null,OS,-1.65,BDL,44.08,OK
2024-08-01 00:37:00,null,OS,1.05,OK,null,OS,null,OS,null,OS,-3.11,BDL,42.54,OK
2024-08-01 00:38:00,null,OS,1.22,OK,null,OS,null,OS,null,OS,-4.9,OR,40.25,OK
2024-08-01 00:39:00,null,OS,1.1,OK,null,OS,null,OS,null,OS,-5.78,OR,39.61,OK
2024-08-01 00:40:00,null,OS,1.03,OK,null,OS,null,OS,null,OS,-7.01,OR,38.33,OK
2024-08-01 00:41:00,null,OS,1.15,OK,null,OS,null,OS,null,OS,-9.11,OR,37.93,OK
2024-08-01 00:42:00,null,OS,1.14,OK,null,OS,null,OS,null,OS,-9.95,OR,37.85,OK
2024-08-01 00:43:00,null,OS,1.29,OK,null,OS,null,OS,null,OS,-11.02,OR,37.62,OK
2024-08-01 00:44:00,null,OS,1.14,OK,null,OS,null,OS,null,OS,-11.78,OR,36.75,OK
2024-08-01 00:45:00,null,OS,0.76,BDL,null,OS,null,OS,null,OS,-11.91,OR,35.51,OK
2024-08-01 00:46:00,null,OS,1.24,OK,null,OS,null,OS,null,OS,-12.11,OR,33.42,OK
2024-08-01 00:47:00,null,OS,1.26,OK,null,OS,null,OS,null,OS,-12.13,OR,33.09,OK
2024-08-01 00:48:00,null,OS,1.21,OK,null,OS,null,OS,null,OS,-12.31,OR,33.1,OK
2024-08-01 00:49:00,null,OS,1.16,OK,null,OS,null,OS,null,OS,-12.67,OR,32.48,OK
2024-08-01 00:50:00,null,OS,0.93,BDL,null,OS,null,OS,null,OS,-13.16,OR,32.02,OK
2024-08-01 00:51:00,null,OS,1.27,OK,null,OS,null,OS,null,OS,-13.41,OR,31.76,OK
2024-08-01 00:52:00,null,OS,1.01,OK,null,OS,null,OS,null,OS,-13.51,OR,30.43,OK
2024-08-01 00:53:00,null,OS,0.62,BDL,null,OS,null,OS,null,OS,-13.85,OR,29.23,OK
2024-08-01 00:54:00,null,OS,0.73,BDL,null,OS,null,OS,null,OS,-13.42,OR,28.12,OK
2024-08-01 00:55:00,null,OS,1.23,OK,null,OS,null,OS,null,OS,-12.71,OR,27.66,OK
2024-08-01 00:56:00,null,OS,1.16,OK,null,OS,null,OS,null,OS,-12.03,OR,27.62,OK
2024-08-01 00:57:00,null,OS,1.33,OK,null,OS,null,OS,null,OS,-11.18,OR,28.07,OK
2024-08-01 00:58:00,null,OS,0.79,BDL,null,OS,null,OS,null,OS,-8.91,OR,28.37,OK
2024-08-01 00:59:00,null,OS,0.76,BDL,null,OS,null,OS,null,OS,-7.31,OR,28.26,OK
2024-08-01 01:00:00,null,OS,0.77,BDL,null,OS,null,OS,null,OS,-5.03,OR,27.83,OK
2024-08-01 01:01:00,null,OS,1.18,OK,null,OS,null,OS,null,OS,-3.03,BDL,27.36,OK
2024-08-01 01:02:00,null,OS,1.2,OK,null,OS,null,OS,null,OS,-1.54,BDL,26.81,OK
2024-08-01 01:03:00,null,OS,1.15,OK,null,OS,null,OS,null,OS,0.21,BDL,26.34,OK
2024-08-01 01:04:00,null,OS,0.86,BDL,null,OS,null,OS,null,OS,1.18,BDL,26.68,OK
2024-08-01 01:05:00,null,OS,0.41,BDL,null,OS,null,OS,null,OS,3.66,BDL,27.33,OK
2024-08-01 01:06:00,null,OS,0.79,BDL,null,OS,null,OS,null,OS,5.19,OK,29.06,OK
2024-08-01 01:07:00,null,OS,0.84,BDL,null,OS,null,OS,null,OS,7.21,OK,29.99,OK
2024-08-01 01:08:00,null,OS,0.97,BDL,null,OS,null,OS,null,OS,9.82,OK,30.55,OK
2024-08-01 01:09:00,null,OS,1.07,OK,null,OS,null,OS,null,OS,11.39,OK,30.54,OK
2024-08-01 01:10:00,null,OS,1.22,OK,null,OS,null,OS,null,OS,14.08,OK,30.35,OK
2024-08-01 01:11:00,null,OS,0.6,BDL,null,OS,null,OS,null,OS,15.41,OK,30.49,OK
2024-08-01 01:12:00,null,OS,0.99,BDL,null,OS,null,OS,null,OS,16.2,OK,30.49,OK
2024-08-01 01:13:00,null,OS,0.34,BDL,null,OS,null,OS,null,OS,17.8,OK,30.52,OK
2024-08-01 01:14:00,null,OS,0.91,BDL,null,OS,null,OS,null,OS,20.41,OK,30.78,OK
2024-08-01 01:15:00,null,OS,0.99,BDL,null,OS,null,OS,null,OS,21.49,OK,31.56,OK
2024-08-01 01:16:00,null,OS,0.77,BDL,null,OS,null,OS,null,OS,22.55,OK,31.49,OK
2024-08-01 01:17:00,null,OS,0.84,BDL,null,OS,null,OS,null,OS,24.24,OK,31.03,OK
2024-08-01 01:18:00,null,OS,0.87,BDL,null,OS,null,OS,null,OS,25.45,OK,30.59,OK
2024-08-01 01:19:00,null,OS,0.89,BDL,null,OS,null,OS,null,OS,26.04,OK,30.71,OK
2024-08-01 01:20:00,null,OS,1.0,OK,null,OS,null,OS,null,OS,26.22,OK,31.07,OK
2024-08-01 01:21:00,null,OS,0.76,BDL,null,OS,null,OS,null,OS,26.27,OK,31.78,OK
2024-08-01 01:22:00,null,OS,1.09,OK,null,OS,null,OS,null,OS,26.94,OK,31.97,OK
2024-08-01 01:23:00,null,OS,0.99,BDL,null,OS,null,OS,null,OS,26.32,OK,31.58,OK
2024-08-01 01:24:00,null,OS,0.67,BDL,null,OS,null,OS,null,OS,25.92,OK,31.13,OK
2024-08-01 01:25:00,null,OS,1.09,OK,null,OS,null,OS,null,OS,25.59,OK,31.31,OK
2024-08-01 01:26:00,null,OS,1.03,OK,null,OS,null,OS,null,OS,24.65,OK,32.41,OK
2024-08-01 01:27:00,null,OS,0.75,BDL,null,OS,null,OS,null,OS,24.08,OK,33.28,OK
2024-08-01 01:28:00,null,OS,1.3,OK,null,OS,null,OS,null,OS,23.78,OK,33.61,OK
2024-08-01 01:29:00,null,OS,0.88,BDL,null,OS,null,OS,null,OS,23.06,OK,33.62,OK
2024-08-01 01:30:00,null,OS,0.93,BDL,null,OS,null,OS,null,OS,21.17,OK,33.5,OK
2024-08-01 01:31:00,null,OS,0.77,BDL,null,OS,null,OS,null,OS,19.52,OK,32.87,OK
2024-08-01 01:32:00,null,OS,1.37,OK,null,OS,null,OS,null,OS,18.53,OK,32.59,OK
2024-08-01 01:33:00,null,OS,1.48,OK,null,OS,null,OS,null,OS,18.22,OK,32.72,OK
2024-08-01 01:34:00,null,OS,1.11,OK,null,OS,null,OS,null,OS,17.7,OK,32.27,OK
2024-08-01 01:35:00,null,OS,0.87,BDL,null,OS,null,OS,null,OS,17.56,OK,31.31,OK
2024-08-01 01:36:00,null,OS,1.12,OK,null,OS,null,OS,null,OS,17.51,OK,30.43,OK
2024-08-01 01:37:00,null,OS,1.24,OK,null,OS,null,OS,null,OS,17.13,OK,30.26,OK
2024-08-01 01:38:00,null,OS,1.35,OK,null,OS,null,OS,null,OS,17.02,OK,29.93,OK
2024-08-01 01:39:00,null,OS,0.97,BDL,null,OS,null,OS,null,OS,17.71,OK,29.19,OK
2024-08-01 01:40:00,null,OS,0.93,BDL,null,OS,null,OS,null,OS,17.92,OK,28.23,OK
2024-08-01 01:41:00,null,OS,0.69,BDL,null,OS,null,OS,null,OS,18.83,OK,27.31,OK
2024-08-01 01:42:00,null,OS,1.15,OK,null,OS,null,OS,null,OS,19.87,OK,27.08,OK
2024-08-01 01:43:00,null,OS,1.3,OK,null,OS,null,OS,null,OS,20.63,OK,26.21,OK
2024-08-01 01:44:00,null,OS,1.38,OK,null,OS,null,OS,null,OS,21.04,OK,25.96,OK
2024-08-01 01:45:00,null,OS,1.16,OK,null,OS,null,OS,null,OS,21.7,OK,25.55,OK
2024-08-01 01:46:00,null,OS,1.05,OK,null,OS,null,OS,null,OS,23.31,OK,25.0,OK
2024-08-01 01:47:00,null,OS,1.09,OK,null,OS,null,OS,null,OS,24.51,OK,24.92,OK
2024-08-01 01:48:00,null,OS,1.22,OK,null,OS,null,OS,null,OS,25.04,OK,25.01,OK
2024-08-01 01:49:00,null,OS,1.12,OK,null,OS,null,OS,null,OS,25.86,OK,25.86,OK
2024-08-01 01:50:00,null,OS,1.0,OK,null,OS,null,OS,null,OS,26.87,OK,26.57,OK
2024-08-01 01:51:00,null,OS,1.0,OK,null,OS,null,OS,null,OS,26.68,OK,27.26,OK
2024-08-01 01:52:00,null,OS,1.36,OK,null,OS,null,OS,null,OS,26.25,OK,27.5,OK
2024-08-01 01:53:00,null,OS,1.06,OK,null,OS,null,OS,null,OS,25.88,OK,27.98,OK
2024-08-01 01:54:00,null,OS,0.75,BDL,null,OS,null,OS,null,OS,25.89,OK,28.01,OK
2024-08-01 01:55:00,null,OS,0.9,BDL,null,OS,null,OS,null,OS,26.42,OK,27.99,OK
2024-08-01 01:56:00,null,OS,1.37,OK,null,OS,null,OS,null,OS,26.44,OK,27.73,OK
2024-08-01 01:57:00,null,OS,0.92,BDL,null,OS,null,OS,null,OS,26.26,OK,28.18,OK
2024-08-01 01:58:00,null,OS,1.1,OK,null,OS,null,OS,null,OS,26.26,OK,29.46,OK
