Red Universitaria de Observatorios Atmosfericos (RUOA)
Atmospheric Observatory Juriquilla (jqro), Queretaro
Lat 20.703 N, Lon 100.4473 W, Alt 1945 masl
Time UTC-6h
Meteorological data
 
TIMESTAMP,Temp_Avg,RH_Avg,WSpeed_Avg,WSpeed_Max,WDir_Avg,WDir_SD,Rain_Tot,Press_Avg,Rad_Avg,Visibility
yyyy-mm-dd HH:MM:SS,°C,%,m/s,m/s,deg,deg,mm,hPa,W/m^2,m
2016-08-01 00:00:00,16.81,76.42,1.887,null,81.4,19.65,0.0,811.0,0.0,null
2016-08-01 00:01:00,16.86,76.48,1.382,null,113.0,31.52,0.0,812.0,0.0,null
2016-08-01 00:02:00,16.88,76.54,1.708,null,95.8,18.52,0.0,812.0,0.0,null
2016-08-01 00:03:00,16.93,76.73,1.643,null,101.0,9.81,0.0,812.0,0.0,null
2016-08-01 00:04:00,16.73,76.95,1.947,null,91.9,15.13,0.0,812.0,0.0,null
2016-08-01 00:05:00,16.78,77.27,1.617,null,105.5,10.2,0.0,812.0,0.0,null
2016-08-01 00:06:00,16.77,77.23,1.73,null,74.29,23.22,0.0,812.0,0.0,null
2016-08-01 00:07:00,16.72,77.22,2.18,null,86.7,17.47,0.0,812.0,0.0,null
2016-08-01 00:08:00,16.72,77.25,1.808,null,84.3,13.89,0.0,812.0,0.0,null
2016-08-01 00:09:00,16.79,77.43,1.727,null,82.3,7.911,0.0,812.0,0.0,null
2016-08-01 00:10:00,16.73,77.56,1.617,null,95.0,6.371,0.0,812.0,0.0,null
2016-08-01 00:11:00,16.69,77.79,2.297,null,87.7,6.797,0.0,812.0,0.0,null
2016-08-01 00:12:00,16.58,77.92,2.605,null,86.7,9.93,0.0,812.0,0.0,null
2016-08-01 00:13:00,16.61,78.04,2.187,null,78.56,16.84,0.0,812.0,0.0,null
2016-08-01 00:14:00,16.65,78.2,1.893,null,101.2,13.58,0.0,812.0,0.0,null
2016-08-01 00:15:00,16.57,78.13,2.07,null,84.0,11.92,0.0,812.0,0.0,null
2016-08-01 00:16:00,16.67,77.99,1.507,null,61.41,18.22,0.0,812.0,0.0,null
2016-08-01 00:17:00,16.61,78.06,1.682,null,87.3,26.46,0.0,812.0,0.0,null
2016-08-01 00:18:00,16.65,78.11,1.868,null,85.8,16.18,0.0,812.0,0.0,null
2016-08-01 00:19:00,16.55,78.21,2.265,null,73.32,9.05,0.0,812.0,0.0,null
2016-08-01 00:20:00,16.61,78.21,1.473,null,89.7,19.57,0.0,812.0,0.0,null
2016-08-01 00:21:00,16.64,78.4,1.45,null,77.36,11.07,0.0,812.0,0.0,null
2016-08-01 00:22:00,16.51,78.57,1.772,null,74.36,13.26,0.0,812.0,0.0,null
2016-08-01 00:23:00,16.5,78.58,1.503,null,77.71,29.74,0.0,812.0,0.0,null
2016-08-01 00:24:00,16.65,78.65,2.513,null,77.35,14.03,0.0,812.0,0.0,null
2016-08-01 00:25:00,16.54,78.51,2.262,null,67.03,9.71,0.0,812.0,0.0,null
2016-08-01 00:26:00,16.52,78.27,1.94,null,75.5,6.237,0.0,812.0,0.0,null
2016-08-01 00:27:00,16.57,78.11,2.063,null,73.15,9.33,0.0,812.0,0.0,null
2016-08-01 00:28:00,16.55,78.14,1.905,null,86.2,11.22,0.0,812.0,0.0,null
2016-08-01 00:29:00,16.63,78.33,1.967,null,96.3,2.981,0.0,812.0,0.0,null
2016-08-01 00:30:00,16.63,78.61,1.608,null,79.67,6.234,0.0,812.0,0.0,null
2016-08-01 00:31:00,16.53,78.83,1.028,null,92.7,18.77,0.0,812.0,0.0,null
2016-08-01 00:32:00,16.51,79.09,2.023,null,103.0,3.829,0.0,812.0,0.0,null
2016-08-01 00:33:00,16.44,79.14,1.613,null,70.75,17.84,0.0,812.0,0.0,null
2016-08-01 00:34:00,16.48,79.3,2.098,null,96.4,14.45,0.0,812.0,0.0,null
2016-08-01 00:35:00,16.4,79.4,1.673,null,87.2,10.43,0.0,812.0,0.0,null
2016-08-01 00:36:00,16.42,79.55,3.26,null,83.3,8.13,0.0,812.0,0.0,null
2016-08-01 00:37:00,16.41,79.44,2.847,null,90.8,6.226,0.0,812.0,0.0,null
2016-08-01 00:38:00,16.39,79.19,3.363,null,84.5,12.36,0.0,812.0,0.0,null
2016-08-01 00:39:00,16.45,79.1,2.148,null,91.8,8.59,0.0,812.0,0.0,null
2016-08-01 00:40:00,16.48,79.12,1.623,null,90.5,8.5,0.0,812.0,0.0,null
2016-08-01 00:41:00,16.46,79.41,2.458,null,93.3,10.5,0.0,812.0,0.0,null
2016-08-01 00:42:00,16.38,79.47,2.728,null,82.2,9.75,0.0,812.0,0.0,null
2016-08-01 00:43:00,16.42,79.49,1.905,null,72.31,10.88,0.0,812.0,0.0,null
2016-08-01 00:44:00,16.41,79.66,1.997,null,67.33,8.03,0.0,812.0,0.0,null
2016-08-01 00:45:00,16.4,79.75,2.067,null,68.15,6.614,0.0,812.0,0.0,null
2016-08-01 00:46:00,16.39,79.78,2.11,null,72.34,7.5,0.0,812.0,0.0,null
2016-08-01 00:47:00,16.34,79.8,2.2,null,72.04,11.06,0.0,812.0,0.0,null
2016-08-01 00:48:00,16.39,79.99,2.052,null,82.0,13.2,0.0,812.0,0.0,null
2016-08-01 00:49:00,16.33,80.2,1.612,null,60.7,15.73,0.0,812.0,0.0,null
2016-08-01 00:50:00,16.32,80.4,2.15,null,60.13,9.45,0.0,812.0,0.0,null
2016-08-01 00:51:00,16.29,80.3,2.398,null,73.12,11.97,0.0,812.0,0.0,null
2016-08-01 00:52:00,16.26,80.2,2.175,null,57.98,10.97,0.0,812.0,0.0,null
2016-08-01 00:53:00,16.3,80.3,2.55,null,76.34,5.374,0.0,812.0,0.0,null
2016-08-01 00:54:00,16.28,80.2,2.273,null,66.67,4.606,0.0,812.0,0.0,null
2016-08-01 00:55:00,16.31,80.1,1.975,null,72.83,6.254,0.0,812.0,0.0,null
2016-08-01 00:56:00,16.25,80.3,2.017,null,64.59,10.76,0.0,812.0,0.0,null
2016-08-01 00:57:00,16.27,80.2,2.59,null,49.33,7.296,0.0,812.0,0.0,null
2016-08-01 00:58:00,16.29,80.2,2.38,null,61.35,11.06,0.0,812.0,0.0,null
2016-08-01 00:59:00,16.27,80.0,2.042,null,81.3,3.496,0.0,812.0,0.0,null
2016-08-01 01:00:00,16.38,79.93,1.647,null,74.36,12.31,0.0,811.0,0.0,null
2016-08-01 01:01:00,16.39,80.0,1.623,null,54.84,6.462,0.0,811.0,0.0,null
2016-08-01 01:02:00,16.34,80.2,1.872,null,84.5,8.47,0.0,811.0,0.0,null
2016-08-01 01:03:00,16.32,80.4,2.335,null,74.11,13.15,0.0,811.0,0.0,null
2016-08-01 01:04:00,16.22,80.2,1.743,null,69.12,11.8,0.0,811.0,0.0,null
2016-08-01 01:05:00,16.27,80.3,1.945,null,82.2,14.96,0.0,811.0,0.0,null
2016-08-01 01:06:00,16.33,80.5,1.673,null,87.0,9.39,0.0,811.0,0.0,null
2016-08-01 01:07:00,16.21,80.6,1.96,null,91.3,9.89,0.0,811.0,0.0,null
2016-08-01 01:08:00,16.24,80.8,1.922,null,87.9,9.0,0.0,811.0,0.0,null
2016-08-01 01:09:00,16.14,80.9,1.982,null,67.83,2.339,0.0,811.0,0.0,null
2016-08-01 01:10:00,16.18,81.0,2.057,null,67.67,6.549,0.0,811.0,0.0,null
2016-08-01 01:11:00,16.13,81.1,2.183,null,68.31,9.19,0.0,811.0,0.0,null
2016-08-01 01:12:00,16.13,80.7,2.043,null,68.32,12.89,0.0,811.0,0.0,null
2016-08-01 01:13:00,16.12,80.9,1.76,null,69.54,11.46,0.0,811.0,0.0,null
2016-08-01 01:14:00,16.16,81.2,1.857,null,66.53,18.16,0.0,811.0,0.0,null
2016-08-01 01:15:00,16.07,81.4,1.783,null,62.13,12.82,0.0,811.0,0.0,null
2016-08-01 01:16:00,16.03,81.4,1.407,null,78.85,12.43,0.0,811.0,0.0,null
2016-08-01 01:17:00,16.05,81.6,2.29,null,79.68,7.694,0.0,811.0,0.0,null
2016-08-01 01:18:00,16.04,81.5,2.308,null,73.5,18.23,0.0,811.0,0.0,null
