Red Universitaria de Observatorios Atmosfericos (RUOA)
Atmospheric Observatory Merida (meda), Yucatan
Lat 20.9838 N, Lon 89.6452 W, Alt 25 masl
Time UTC-6h
Air Quality data
BDL = Below Detection Limit, null = missing data
 
Time,O3,SO2,NO2,NO,CO,PM10,PM2.5
yyyy-mm-dd HH:MM:SS,ppb,ppb,ppb,ppb,ppm,ug/m^3,ug/m^3
2019-02-01 00:00:00,21.26,BDL,BDL,36.97,null,27.13,9.32
2019-02-01 00:01:00,21.51,BDL,BDL,36.93,null,27.43,8.08
2019-02-01 00:02:00,21.45,BDL,BDL,36.76,null,25.87,7.82
2019-02-01 00:03:00,21.32,BDL,BDL,37.29,null,24.8,7.97
2019-02-01 00:04:00,21.68,BDL,BDL,36.98,null,24.14,8.47
2019-02-01 00:05:00,21.23,BDL,BDL,36.99,null,24.13,8.53
2019-02-01 00:06:00,21.31,BDL,BDL,36.93,null,25.08,BDL
2019-02-01 00:07:00,21.77,BDL,BDL,37.03,null,27.1,8.45
2019-02-01 00:08:00,21.43,BDL,BDL,37.13,null,28.4,9.25
2019-02-01 00:09:00,21.11,BDL,BDL,37.12,null,28.79,9.68
2019-02-01 00:10:00,21.57,BDL,BDL,37.05,null,29.23,9.92
2019-02-01 00:11:00,21.09,BDL,BDL,37.36,null,27.98,9.82
2019-02-01 00:12:00,20.92,BDL,BDL,37.18,null,27.64,9.68
2019-02-01 00:13:00,20.91,BDL,BDL,37.1,null,27.11,9.29
2019-02-01 00:14:00,21.15,BDL,BDL,37.25,null,26.19,9.18
2019-02-01 00:15:00,20.9,BDL,BDL,37.23,null,25.79,9.6
2019-02-01 00:16:00,21.14,BDL,BDL,37.29,null,24.06,9.55
2019-02-01 00:17:00,20.98,BDL,BDL,37.05,null,23.1,8.8
2019-02-01 00:18:00,20.35,BDL,BDL,36.9,null,23.14,7.98
2019-02-01 00:19:00,20.64,BDL,BDL,37.19,null,22.49,7.73
2019-02-01 00:20:00,20.41,BDL,BDL,37.23,null,20.39,7.31
2019-02-01 00:21:00,20.63,BDL,BDL,36.86,null,17.68,7.66
2019-02-01 00:22:00,20.24,BDL,BDL,37.13,null,16.68,8.54
2019-02-01 00:23:00,19.91,BDL,BDL,37.16,null,15.67,8.67
2019-02-01 00:24:00,19.54,BDL,BDL,37.15,null,15.56,8.5
2019-02-01 00:25:00,19.74,BDL,BDL,36.89,null,16.07,8.17
2019-02-01 00:26:00,19.48,BDL,BDL,36.92,null,16.07,7.73
2019-02-01 00:27:00,19.32,BDL,BDL,36.99,null,16.14,7.28
2019-02-01 00:28:00,20.06,BDL,BDL,37.1,null,16.38,7.14
2019-02-01 00:29:00,19.7,BDL,BDL,37.09,null,16.18,7.1
2019-02-01 00:30:00,18.69,BDL,BDL,37.1,null,17.01,7.3
2019-02-01 00:31:00,18.06,BDL,BDL,37.07,null,17.63,7.64
2019-02-01 00:32:00,17.46,BDL,BDL,37.38,null,16.72,7.39
2019-02-01 00:33:00,17.21,BDL,BDL,37.39,null,16.04,7.1
2019-02-01 00:34:00,16.56,BDL,BDL,37.35,null,16.11,6.58
2019-02-01 00:35:00,16.36,BDL,BDL,37.36,null,16.69,6.11
2019-02-01 00:36:00,15.89,BDL,BDL,37.14,null,17.6,6.02
2019-02-01 00:37:00,15.16,BDL,BDL,37.22,null,17.71,7.86
2019-02-01 00:38:00,14.89,BDL,BDL,37.1,null,16.48,8.68
