Red Universitaria de Observatorios Atmosfericos (RUOA)
Atmospheric Observatory Merida (meda), Yucatan
Lat 20.9838 N, Lon 89.6452 W, Alt 25 masl
Time UTC-6h
Air Quality data
Flags: OK = Reliable data, BDL = Below Detection Limit, OR = Out of Range, OS = Out of Service 
 
Time,O3,O3_flag,SO2,SO2_flag,NO2,NO2_flag,NO,NO_flag,CO,CO_flag,PM10,PM10_flag,PM2.5,PM2.5_flag
yyyy-mm-dd HH:MM:SS,ppb,flag,ppb,flag,ppb,flag,ppb,flag,ppm,flag,ug/m^3,flag,ug/m^3,flag
2025-03-01 00:00:00,4.24,OK,null,OS,null,OS,null,OS,null,OS,3.63,BDL,2.72,BDL
2025-03-01 00:01:00,4.12,OK,null,OS,null,OS,null,OS,null,OS,3.18,BDL,3.24,BDL
2025-03-01 00:02:00,3.61,OK,null,OS,null,OS,null,OS,null,OS,2.07,BDL,3.19,BDL
2025-03-01 00:03:00,3.86,OK,null,OS,null,OS,null,OS,null,OS,0.37,BDL,3.22,BDL
2025-03-01 00:04:00,3.95,OK,null,OS,null,OS,null,OS,null,OS,-0.14,BDL,2.67,BDL
2025-03-01 00:05:00,4.31,OK,null,OS,null,OS,null,OS,null,OS,-1.61,BDL,2.66,BDL
2025-03-01 00:06:00,4.28,OK,null,OS,null,OS,null,OS,null,OS,-2.95,BDL,2.72,BDL
2025-03-01 00:07:00,4.38,OK,null,OS,null,OS,null,OS,null,OS,-3.33,BDL,2.71,BDL
2025-03-01 00:08:00,4.52,OK,null,OS,null,OS,null,OS,null,OS,-3.17,BDL,2.46,BDL
2025-03-01 00:09:00,4.47,OK,null,OS,null,OS,null,OS,null,OS,-3.17,BDL,2.41,BDL
2025-03-01 00:10:00,4.44,OK,null,OS,null,OS,null,OS,null,OS,-3.72,BDL,2.34,BDL
2025-03-01 00:11:00,4.37,OK,null,OS,null,OS,null,OS,null,OS,-4.95,OR,2.1,BDL
2025-03-01 00:12:00,4.45,OK,null,OS,null,OS,null,OS,null,OS,-5.19,OR,2.34,BDL
2025-03-01 00:13:00,4.49,OK,null,OS,null,OS,null,OS,null,OS,-5.82,OR,3.38,BDL
