Fecha,NO2
2018-08-02,8.0
2018-10-11,5.0
2018-11-07,9.999999999999998
2019-01-01,12.458333333333334
2019-01-02,13.791666666666668
2019-01-03,14.791666666666666
2019-01-04,15.625
2019-01-05,15.583333333333332
2019-01-06,14.791666666666666
2019-01-07,19.041666666666668
2019-01-08,22.916666666666668
2019-01-09,18.416666666666668
2019-01-10,15.125
2019-01-11,13.75
2019-01-12,14.541666666666666
2019-01-13,14.625
2019-01-14,16.541666666666668
2019-01-15,17.374999999999996
2019-01-16,17.791666666666668
2019-01-17,20.541666666666668
2019-01-18,17.708333333333332
2019-01-19,18.583333333333332
2019-01-20,16.458333333333336
2019-01-21,19.875
2019-01-22,14.083333333333336
2019-01-23,13.583333333333334
2019-01-24,14.249999999999998
2019-01-25,15.916666666666666
2019-01-26,12.583333333333334
2019-01-27,14.583333333333332
2019-01-28,13.583333333333334
2019-01-29,14.166666666666668
2019-01-30,10.304347826086955
2019-01-31,11.791666666666668
2019-02-01,11.333333333333334
2019-02-02,13.041666666666666
2019-02-03,11.041666666666666
2019-02-04,11.583333333333334
2019-02-05,14.083333333333332
2019-02-06,16.25
2019-02-07,16.166666666666664
2019-02-08,16.875
2019-02-09,13.166666666666666
2019-02-10,11.416666666666668
2019-02-11,12.124999999999998
2019-02-12,14.0
2019-02-13,11.791666666666666
2019-02-14,13.5
2019-02-15,16.416666666666668
2019-02-16,12.833333333333334
2019-02-17,11.125000000000002
2019-02-18,10.916666666666666
2019-02-19,10.125
2019-02-20,9.5
2019-02-21,9.083333333333334
2019-02-22,9.75
2019-02-23,10.25
2019-02-24,10.541666666666666
2019-02-25,13.25
2019-02-26,15.541666666666668
2019-02-27,18.041666666666668
2019-02-28,13.541666666666668
2019-03-01,11.750000000000002
2019-03-02,12.291666666666666
2019-03-03,10.875000000000002
2019-03-04,9.916666666666666
2019-03-05,11.500000000000002
2019-03-06,14.958333333333332
2019-03-07,14.374999999999998
2019-03-08,13.5
2019-03-09,11.791666666666666
2019-03-10,11.625000000000002
2019-03-11,11.500000000000002
2019-03-12,10.958333333333334
2019-03-13,9.521739130434783
2019-03-14,10.375
2019-03-15,12.249999999999998
2019-03-16,13.583333333333334
2019-03-17,10.291666666666666
2019-03-18,8.708333333333334
2019-03-19,9.125
2019-03-20,9.25
2019-03-21,10.5
2019-03-22,9.583333333333334
2019-03-23,9.375
2019-03-24,9.041666666666666
2019-03-25,12.444444444444445
2019-03-26,13.541666666666668
2019-03-27,11.916666666666666
2019-03-28,12.208333333333334
2019-03-29,11.541666666666666
2019-03-30,11.999999999999998
2019-03-31,10.916666666666666
2019-04-01,11.166666666666666
2019-04-02,11.333333333333334
2019-04-03,11.500000000000002
2019-04-04,13.041666666666666
2019-04-05,12.624999999999998
2019-04-06,11.916666666666666
2019-04-07,9.625
2019-04-08,11.874999999999998
2019-04-09,13.166666666666666
2019-04-10,11.916666666666666
2019-04-11,11.999999999999998
2019-04-12,11.583333333333334
2019-04-13,9.166666666666666
2019-04-14,10.875000000000002
2019-04-15,11.583333333333334
2019-04-16,10.0
2019-04-17,9.375
2019-04-18,10.25
2019-04-19,8.458333333333334
2019-04-20,8.125
2019-04-21,7.375
2019-04-22,9.583333333333334
2019-04-23,9.958333333333332
2019-04-24,10.833333333333334
2019-04-25,11.666666666666668
2019-04-26,11.999999999999998
2019-04-27,11.458333333333334
2019-04-28,10.833333333333334
2019-04-29,12.374999999999998
2019-04-30,14.541666666666666
2019-05-01,10.458333333333334
2019-05-02,11.833333333333332
2019-05-03,10.875000000000002
2019-05-04,11.291666666666666
2019-05-05,7.791666666666666
2019-05-06,8.875
2019-05-07,11.333333333333334
2019-05-08,10.875000000000002
2019-05-09,10.916666666666666
2019-05-10,10.708333333333334
2019-05-11,11.916666666666668
2019-05-12,10.333333333333334
2019-05-13,10.458333333333334
2019-05-14,9.043478260869565
2019-05-15,10.458333333333334
2019-05-16,9.666666666666668
2019-05-17,10.541666666666666
2019-05-18,11.583333333333334
2019-05-19,10.541666666666666
2019-05-20,10.041666666666666
2019-05-21,10.0
2019-05-22,10.5
2019-05-23,11.583333333333334
2019-05-24,9.458333333333334
2019-05-25,9.833333333333332
2019-05-26,6.041666666666667
2019-05-27,6.916666666666667
2019-05-28,8.916666666666666
2019-05-29,8.541666666666668
2019-05-30,8.041666666666668
2019-05-31,9.541666666666668
2019-06-01,9.041666666666666
2019-06-02,8.0
2019-06-03,7.249999999999999
2019-06-04,6.833333333333334
2019-06-05,10.0
2019-06-06,11.083333333333334
2019-06-07,9.833333333333332
2019-06-08,7.75
2019-06-09,7.541666666666666
2019-06-10,9.875
2019-06-11,7.875
2019-06-12,9.125
2019-06-13,8.875
2019-06-14,10.3
2019-06-17,9.066666666666666
2019-06-18,8.125
2019-06-19,8.708333333333334
2019-06-20,9.916666666666666
2019-06-21,9.625
2019-06-22,9.541666666666668
2019-06-23,7.125
2019-06-24,6.625
2019-06-25,7.083333333333334
2019-06-26,8.25
2019-06-27,8.125
2019-06-28,7.916666666666667
2019-06-29,8.083333333333332
2019-06-30,6.791666666666667
2019-07-01,8.916666666666666
2019-07-02,7.416666666666666
2019-07-03,7.291666666666666
2019-07-04,8.291666666666668
2019-07-05,8.958333333333334
2019-07-06,9.5
2019-07-07,6.083333333333333
2019-07-08,8.125
2019-07-09,8.125
2019-07-10,7.583333333333333
2019-07-11,7.75
2019-07-12,8.0
2019-07-13,8.875
2019-07-14,7.166666666666668
2019-07-15,8.125
2019-07-16,8.291666666666668
2019-07-17,9.708333333333332
2019-07-18,9.0
2019-07-19,8.666666666666666
2019-07-20,8.749999999999998
2019-07-21,8.875
2019-07-22,9.625
2019-07-23,9.625
2019-07-24,8.5
2019-07-25,9.700000000000001
2019-07-30,7.2727272727272725
2019-07-31,10.583333333333334
2019-08-01,12.695652173913041
2019-08-02,10.666666666666666
2019-08-03,9.041666666666666
2019-08-04,7.5
2019-08-05,8.875
2019-08-06,8.416666666666666
2019-08-07,8.666666666666666
2019-08-08,9.0
2019-08-09,11.125000000000002
2019-08-10,8.166666666666668
2019-08-11,6.583333333333333
2019-08-12,9.75
2019-08-13,8.5
2019-08-14,10.416666666666666
2019-08-15,8.791666666666666
2019-08-16,9.708333333333332
2019-08-17,8.791666666666666
2019-08-18,9.708333333333334
2019-08-19,10.458333333333334
2019-08-20,7.875
2019-08-21,8.0
2019-08-22,5.958333333333333
2019-08-23,7.708333333333334
2019-08-24,8.791666666666666
2019-08-25,7.708333333333334
2019-08-26,8.916666666666666
2019-08-27,9.583333333333334
2019-08-28,11.791666666666666
2019-08-29,10.875000000000002
2019-08-30,8.958333333333334
2019-08-31,11.125000000000002
2019-09-01,8.875
2019-09-02,8.583333333333334
2019-09-03,9.125
2019-09-04,8.666666666666666
2019-09-05,11.166666666666666
2019-09-06,13.416666666666668
2019-09-07,12.499999999999998
2019-09-08,9.583333333333334
2019-09-09,9.166666666666666
2019-09-10,9.5
2019-09-11,10.666666666666666
2019-09-12,9.208333333333334
2019-09-13,10.545454545454545
2019-09-14,9.333333333333334
2019-09-15,7.208333333333334
