Fecha,Rainfall
2018-04-11,0.52
2018-04-12,0.02
2018-04-23,0.14
2018-04-24,0.38
2018-04-30,0.16
2018-05-01,0.04
2018-05-03,0.12
2018-05-04,0.17
2018-05-05,0.07
2018-05-06,0.51
2018-05-08,0.08
2018-05-09,0.4
2018-05-10,0.18
2018-05-11,0.68
2018-05-13,0.14
2018-05-14,0.03
2018-05-15,0.46
2018-05-20,0.08
2018-05-21,0.65
2018-05-22,0.02
2018-05-24,0.11000000000000001
2018-06-03,0.01
2018-06-07,1.76
2018-06-08,133.03
2018-06-09,0.44
2018-06-10,0.12
2018-06-11,0.13
2018-06-12,0.13
2018-06-13,0.25
2018-06-14,3.01
2018-06-15,0.16
2018-06-16,0.06
2018-06-17,1.46
2018-06-18,0.28
2018-06-19,0.62
2018-06-20,0.11
2018-06-21,0.25
2018-06-23,1.1300000000000001
2018-06-24,0.14
2018-06-25,0.39999999999999997
2018-06-26,0.13999999999999999
2018-06-27,0.5
2018-06-28,0.03
2018-06-29,0.9
2018-06-30,1.3199999999999998
2018-07-01,0.12
2018-07-02,0.02
2018-07-03,0.06999999999999999
2018-07-06,0.45
2018-07-08,1.22
2018-07-09,0.19
2018-07-10,0.6
2018-07-11,0.24000000000000002
2018-07-13,0.73
2018-07-14,1.1500000000000001
2018-07-15,0.01
2018-07-16,0.02
2018-07-18,0.64
2018-07-20,0.27
2018-07-24,0.33999999999999997
2018-07-26,0.04
2018-07-29,0.62
2018-08-03,0.13
2018-08-04,0.45
2018-08-06,1.02
2018-08-07,0.23
2018-08-08,0.31
2018-08-09,1.16
2018-08-10,0.04
2018-08-11,0.6399999999999999
2018-08-12,1.16
2018-08-13,0.73
2018-08-15,0.12
2018-08-16,0.07
2018-08-17,0.16
2018-08-18,0.19
2018-08-20,0.34
2018-08-21,0.54
2018-08-22,0.29000000000000004
2018-08-23,0.23
2018-08-24,0.13
2018-08-25,0.72
2018-08-26,0.5499999999999999
2018-08-27,0.33
2018-08-28,0.02
2018-08-29,0.07
2018-08-30,0.42
2018-08-31,0.87
2018-09-02,0.17
2018-09-03,0.11000000000000001
2018-09-04,0.36
2018-09-05,1.29
2018-09-06,0.05
2018-09-07,0.04
2018-09-12,0.5399999999999999
2018-09-13,1.23
2018-09-14,0.01
2018-09-15,0.01
2018-09-19,0.02
2018-09-20,0.21
2018-09-21,0.31
2018-09-22,0.08
2018-09-23,0.1
2018-09-25,1.5899999999999999
2018-09-26,0.23
2018-09-27,0.14
2018-09-28,0.5
2018-09-29,0.79
2018-09-30,0.23
2018-10-02,0.34
2018-10-03,1.02
2018-10-04,0.58
2018-10-05,0.17
2018-10-06,0.11
2018-10-07,0.49
2018-10-08,0.01
2018-10-10,0.04
2018-10-11,0.02
2018-10-12,0.01
2018-10-14,0.49
2018-10-15,0.23
2018-10-16,0.32999999999999996
2018-10-17,0.08
2018-10-18,0.01
2018-10-19,0.77
2018-10-20,0.27
2018-10-21,0.7
2018-10-22,2.1999999999999997
2018-10-26,0.65
2018-10-27,0.03
2018-10-30,0.36
2018-10-31,0.02
2018-11-01,0.2
2018-11-03,0.18
2018-11-04,1.4200000000000002
2018-11-05,0.01
2018-11-12,0.26
2018-11-13,0.69
2018-11-14,0.1
2018-11-28,0.01
2018-11-29,0.8
2018-11-30,0.01
2018-12-05,0.05
2018-12-06,0.16
2018-12-07,0.01
2019-01-13,0.35
2019-01-16,0.03
2019-01-18,0.03
2019-02-24,0.01
2019-03-06,0.01
2019-03-07,0.01
2019-05-18,0.08
2019-05-28,0.79
2019-05-29,0.01
