Time,O3_flag,SO2_flag,NO2_flag,NO_flag,CO_flag,PM10_flag,PM2.5_flag,WDir_Avg,Rain_Tot,WDir_SD,O3,SO2,NO2,NO,CO,PM10,PM2.5,Temp_Avg,RH_Avg,WSpeed_Avg,WSpeed_Max,Press_Avg,Rad_Avg,TemperatureDowntown,RelativeHumidityDowntown,SolarRadiationDowntown,RainfallDowntown,WindDirectionDowntown,PM10Downtown,PM2.5Downtown,O3Downtown,CODowntown,NODowntown,NO2Downtown,SO2Downtown
2015-08-01,OS,OS,OS,OS,OS,OS,OS,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-02,OS,OS,OS,OS,OS,OS,OS,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-03,OS,OS,OS,OS,OS,OS,OS,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-04,OS,OS,OS,OS,OS,OS,OS,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-05,OS,OS,OS,OS,OS,OS,OS,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-06,OS,OS,OS,OS,OS,OS,OS,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-07,OS,OS,OS,OS,OS,OS,OS,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-08,OS,OS,OS,OS,OS,OS,OS,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-09,OS,OS,OS,OS,OS,OS,OS,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-10,OS,OS,OS,OS,OS,OS,OS,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-11,OS,OS,OS,OS,OS,OS,OS,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-12,OS,OS,OS,OS,OS,OS,OS,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-13,OS,OS,OS,OS,OS,OS,OS,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-14,OS,OS,OS,OS,OS,OS,OS,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-15,OS,OS,OS,OS,OS,OS,OS,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-16,OS,OS,OS,OS,OS,OS,OS,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-17,OS,OS,OS,OS,OS,OS,OS,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-18,OS,OS,OS,OS,OS,OS,OS,148.0,0.0,17.982585823234512,,,,,,,,32.32243902439024,73.0190671641791,1.570061567164179,,805.2222222222222,100.76380597014924,,,,,,,,,,,,
2015-08-19,OS,OS,OS,OS,OS,OS,OS,156.0,0.1,14.9102839660563,,,,,,,,19.567985714285715,76.54101388888888,1.2930493055555556,,804.7083333333334,212.37715277777772,,,,,,,,,,,,
2015-08-20,OS,OS,OS,OS,OS,OS,OS,206.0,0.0,15.479309532056124,,,,,,,,18.388465277777776,74.84727777777778,1.25839375,,803.5833333333334,228.86458333333331,,,,,,,,,,,,
2015-08-21,OS,OS,OS,OS,OS,OS,OS,213.0,19.5,13.883620140274637,,,,,,,,17.71840277777778,78.69725,1.35336875,,803.25,201.07430555555555,,,,,,,,,,,,
2015-08-22,OS,OS,OS,OS,OS,OS,OS,195.0,6.4,15.098760923651335,,,,,,,,17.520354166666667,77.28221527777778,1.43130625,,803.25,169.69715277777777,,,,,,,,,,,,
2015-08-23,OS,OS,OS,OS,OS,OS,OS,222.0,5.4,14.797363360480368,,,,,,,,16.876958333333334,81.00383333333333,1.246842361111111,,804.75,163.42729166666666,,,,,,,,,,,,
2015-08-24,OS,OS,OS,OS,OS,OS,OS,68.0,3.2,14.399378509890695,,,,,,,,18.37254861111111,74.21386805555555,1.7987291666666667,,808.2916666666666,269.2055555555556,,,,,,,,,,,,
2015-08-25,OS,OS,OS,OS,OS,OS,OS,45.0,0.0,15.150085595144253,,,,,,,,18.096152777777775,70.1288888888889,1.7098486111111109,,809.2916666666666,244.63847222222225,,,,,,,,,,,,
2015-08-26,OS,OS,OS,OS,OS,OS,OS,148.0,1.3,13.376057614150628,,,,,,,,17.075027777777777,72.734625,1.62569375,,808.2083333333334,222.55902777777777,,,,,,,,,,,,
2015-08-27,OS,OS,OS,OS,OS,OS,OS,148.0,0.0,13.211119494210385,,,,,,,,18.407597222222225,67.03263194444445,1.9492916666666664,,806.0416666666666,301.76680555555555,,,,,,,,,,,,
2015-08-28,OS,OS,OS,OS,OS,OS,OS,166.0,0.0,14.913142352528707,,,,,,,,18.509131944444444,65.964625,1.7107694444444443,,803.875,315.37055555555554,,,,,,,,,,,,
2015-08-29,OS,OS,OS,OS,OS,OS,OS,152.0,0.0,15.066025896571668,,,,,,,,18.400895833333333,68.11520833333333,1.4193138888888888,,804.0833333333334,301.3798611111111,,,,,,,,,,,,
