O3,O3_flag,NO2,NO2_flag,NO,NO_flag,CO,CO_flag,PM10,PM10_flag,PM2.5,PM2.5_flag,Temp_Avg,RH_Avg,WSpeed_Avg,WSpeed_Max,WDir_Avg,WDir_SD,Rain_Tot,Press_Avg,Rad_Avg,Year,Month,Day,Hour,Minute
16.29,OK,2.33,OK,0.2,BDL,0.35,OK,9.74,OK,5.29,OK,4.767,91.5,0.0,0.0,0.0,0.0,0.0,808.928,,2024,1,1,6,20
24.57,OK,2.24,OK,0.62,OK,0.44,OK,19.66,OK,24.21,OK,11.89,66.7,0.0,0.0,0.0,0.0,0.0,810.019,501.0,2024,1,1,9,38
18.58,OK,1.39,OK,0.2,BDL,0.31,OK,25.9,OK,17.86,OK,4.9,94.1,0.0,0.0,0.0,0.0,0.0,808.98,,2024,1,1,6,48
25.79,OK,2.12,OK,0.46,OK,0.41,OK,20.53,OK,28.36,OK,11.98,65.96,0.393,1.065,323.4,2.665,0.0,810.06,528.9,2024,1,1,9,45
53.56,OK,2.79,OK,0.2,BDL,0.37,OK,25.88,OK,13.43,OK,18.18,40.61,0.28,0.481,86.4,3.601,0.0,808.379,878.0,2024,1,1,12,44
43.15,OK,1.65,OK,0.2,BDL,0.3,OK,5.9,OK,2.0,BDL,21.96,34.59,1.91,2.089,159.3,11.62,0.0,806.834,792.1,2024,1,1,14,35
40.86,OK,1.33,OK,0.2,BDL,0.25,OK,2.0,BDL,5.24,OK,20.88,35.48,2.287,2.744,261.9,4.461,0.0,806.37,295.1,2024,1,1,15,59
18.39,OK,1.92,OK,0.2,BDL,0.32,OK,17.11,OK,17.23,OK,5.024,92.9,0.0,0.0,0.0,0.0,0.0,808.626,,2024,1,1,5,41
21.02,OK,2.96,OK,1.42,OK,0.48,OK,21.18,OK,24.18,OK,10.48,71.48,0.0,0.0,0.0,0.0,0.0,810.223,472.6,2024,1,1,9,30
42.03,OK,1.41,OK,0.2,BDL,0.26,OK,15.38,OK,12.21,OK,19.67,40.31,4.012,5.796,209.8,9.26,0.0,806.329,183.0,2024,1,1,17,17
31.68,OK,3.29,OK,0.2,BDL,0.3,OK,24.66,OK,11.69,OK,13.74,60.56,1.072,1.321,250.0,5.74,0.0,808.016,,2024,1,1,21,7
55.71,OK,2.89,OK,0.2,BDL,0.35,OK,21.04,OK,20.04,OK,19.44,37.56,0.137,0.461,86.5,25.61,0.0,807.42,876.0,2024,1,1,13,27
23.93,OK,6.59,OK,0.2,BDL,0.35,OK,24.05,OK,10.79,OK,12.82,64.72,0.0,0.0,0.0,0.0,0.0,808.349,,2024,1,1,21,47
39.26,OK,2.05,OK,0.2,BDL,0.32,OK,6.62,OK,12.94,OK,15.9,48.9,0.471,1.229,53.58,16.93,0.0,809.515,782.6,2024,1,1,11,12
31.49,OK,2.72,OK,0.67,OK,0.38,OK,21.59,OK,39.77,OK,13.11,61.39,1.087,1.393,29.94,12.31,0.0,809.971,658.3,2024,1,1,10,22
23.0,OK,4.59,OK,0.2,BDL,0.32,OK,22.12,OK,12.49,OK,11.92,67.96,0.225,0.451,80.3,5.457,0.0,808.655,,2024,1,1,22,42
26.52,OK,4.81,OK,0.2,BDL,0.31,OK,8.66,OK,22.11,OK,12.82,63.95,0.0,0.0,0.0,0.0,0.0,808.594,,2024,1,1,22,25
15.1,OK,4.96,OK,0.2,BDL,0.49,OK,29.3,OK,32.81,OK,8.03,86.3,0.725,0.86,295.4,5.814,0.0,808.417,,2024,1,1,1,27
29.95,OK,5.58,OK,0.2,BDL,0.29,OK,17.07,OK,8.13,OK,15.09,56.43,0.072,0.42,212.9,2.44,0.0,807.594,,2024,1,1,20,22
23.97,OK,5.78,OK,0.2,BDL,0.37,OK,26.84,OK,16.47,OK,11.47,69.73,1.062,1.587,235.7,12.15,0.0,808.886,,2024,1,1,22,56
55.22,OK,2.83,OK,0.2,BDL,0.34,OK,18.56,OK,19.72,OK,19.99,36.87,1.316,2.611,306.0,10.94,0.0,807.447,878.0,2024,1,1,13,30
45.63,OK,1.66,OK,0.2,BDL,0.3,OK,10.62,OK,9.75,OK,21.25,34.39,0.097,0.287,125.3,1.461,0.0,806.939,836.0,2024,1,1,14,24
19.7,OK,5.22,OK,2.27,OK,0.69,OK,21.08,OK,15.99,OK,9.44,75.53,0.051,0.297,277.9,0.0,0.0,810.216,392.5,2024,1,1,9,10
20.45,OK,1.65,OK,0.2,BDL,0.3,OK,15.87,OK,31.25,OK,4.887,94.7,0.0,0.0,0.0,0.0,0.0,809.119,,2024,1,1,7,6
36.22,OK,2.59,OK,0.2,BDL,0.28,OK,30.72,OK,13.11,OK,13.21,62.76,0.756,0.891,206.5,5.287,0.0,808.043,,2024,1,1,21,25
40.5,OK,1.18,OK,0.2,BDL,0.26,OK,10.37,OK,13.92,OK,21.35,33.8,3.005,3.994,264.0,24.75,0.0,806.398,667.1,2024,1,1,15,36
29.89,OK,3.9,OK,0.2,BDL,0.29,OK,6.82,OK,22.86,OK,12.29,66.2,1.213,1.556,154.2,14.44,0.0,808.315,,2024,1,1,22,15
38.33,OK,1.57,OK,0.2,BDL,0.26,OK,9.1,OK,16.73,OK,17.25,48.51,0.893,1.126,306.8,0.0,0.0,807.057,,2024,1,1,18,45
37.2,OK,1.48,OK,0.2,BDL,0.3,OK,19.45,OK,17.04,OK,14.97,51.4,1.029,1.475,82.1,20.32,0.0,809.821,743.2,2024,1,1,10,53
43.48,OK,2.32,OK,0.2,BDL,0.34,OK,10.76,OK,16.72,OK,16.78,46.54,0.0,0.0,0.0,0.0,0.0,809.052,854.0,2024,1,1,11,56
