O3,O3_flag,NO2,NO2_flag,NO,NO_flag,CO,CO_flag,PM10,PM10_flag,PM2.5,PM2.5_flag,Temp_Avg,RH_Avg,WSpeed_Avg,WSpeed_Max,WDir_Avg,WDir_SD,Rain_Tot,Press_Avg,Rad_Avg,Year,Month,Day,Hour,Minute
24.38,OK,3.12,OK,0.2,BDL,0.27,OK,8.73,OK,18.26,OK,15.48,94.1,0.0,0.0,0.0,0.0,0.1,807.614,,2023,9,17,1,21
19.42,OK,5.51,OK,0.2,BDL,0.53,OK,2.0,BDL,4.68,OK,10.07,95.3,0.0,0.0,0.0,0.0,0.1,806.159,,2024,2,17,0,6
34.08,OK,1.65,OK,0.2,BDL,0.23,OK,2.0,BDL,2.0,BDL,10.91,83.9,4.678,5.765,203.8,10.45,0.1,806.921,108.8,2023,12,26,11,7
55.4,OK,2.99,OK,0.2,BDL,0.27,OK,6.85,OK,7.39,OK,14.57,96.1,2.831,3.768,242.8,14.25,0.1,808.68,,2023,8,12,1,8
15.53,OK,1.6,OK,0.2,BDL,0.21,OK,14.48,OK,6.05,OK,15.79,96.4,0.0,0.0,0.0,0.0,0.1,803.513,,2023,10,9,22,31
31.83,OK,8.29,OK,0.2,BDL,0.06,OK,21.68,OK,14.65,OK,14.9,98.3,1.318,1.741,358.4,12.59,0.1,809.057,0.415,2023,7,18,2,13
54.94,OK,2.18,OK,0.2,BDL,0.02,BDL,32.12,OK,17.1,OK,18.81,71.72,8.95,12.99,117.0,13.42,0.8,809.289,29.32,2023,7,18,23,2
55.95,OK,2.64,OK,0.2,BDL,0.08,OK,21.73,OK,31.44,OK,16.92,76.64,3.22,3.738,287.4,8.72,0.1,804.507,16.04,2023,7,3,18,37
24.31,OK,0.48,OK,0.2,BDL,0.3,OK,4.94,OK,5.34,OK,17.94,83.2,1.835,2.488,255.6,15.11,0.3,805.689,84.5,2023,8,4,17,13
5.64,OK,9.54,OK,3.24,OK,0.54,OK,24.6,OK,20.36,OK,15.91,94.5,0.0,0.0,0.0,0.0,0.1,805.751,61.07,2023,10,25,8,47
27.65,OK,2.46,OK,0.2,BDL,0.07,OK,11.29,OK,6.13,OK,15.89,90.8,2.068,2.755,280.4,5.739,0.1,807.618,,2023,7,23,1,48
53.4,OK,3.94,OK,0.2,BDL,0.23,OK,15.99,OK,11.93,OK,14.74,96.0,0.0,0.0,0.0,0.0,0.1,809.468,,2023,8,12,0,28
7.59,OK,12.98,OK,0.2,BDL,0.48,OK,28.15,OK,30.78,OK,13.26,96.8,0.0,0.0,0.0,0.0,0.1,806.689,,2023,12,16,0,14
54.22,OK,1.61,OK,0.2,BDL,0.21,OK,12.78,OK,19.14,OK,19.42,62.53,3.659,5.632,95.7,19.42,0.1,806.594,,2023,6,27,23,25
9.13,OK,7.36,OK,0.2,BDL,0.28,OK,26.12,OK,25.35,OK,15.71,95.4,0.87,1.546,353.7,14.5,0.4,805.656,1.567,2023,8,29,3,4
42.89,OK,1.02,OK,0.2,BDL,0.3,OK,14.77,OK,8.17,OK,16.17,85.8,3.338,4.198,178.5,23.68,0.2,808.244,0.23,2023,8,1,23,46
42.01,OK,0.68,OK,0.2,BDL,0.29,OK,17.26,OK,7.67,OK,15.96,88.5,1.888,2.509,198.2,18.48,0.2,808.378,,2023,8,1,23,51
18.45,OK,0.2,BDL,0.2,BDL,0.16,OK,6.89,OK,4.18,OK,15.63,87.4,3.804,4.659,132.7,21.65,0.1,799.867,,2023,10,11,2,27
26.21,OK,1.68,OK,0.2,BDL,0.22,OK,17.5,OK,7.86,OK,15.57,95.3,0.0,0.0,0.0,0.0,0.1,805.778,,2023,9,5,1,33
25.3,OK,1.63,OK,0.64,OK,0.2,OK,9.3,OK,22.5,OK,18.13,83.5,4.152,4.516,287.0,5.995,0.3,804.009,22.27,2023,10,27,17,21
49.93,OK,0.92,OK,0.2,BDL,0.28,OK,54.09,OK,37.11,OK,19.28,65.59,4.913,5.519,358.3,5.177,0.6,805.522,79.11,2023,6,21,13,26
64.81,OK,1.96,OK,0.2,BDL,0.2,OK,5.51,OK,13.24,OK,16.63,82.0,7.733,10.11,57.44,14.17,0.2,809.884,12.72,2023,8,11,23,20
50.3,OK,5.34,OK,0.2,BDL,0.14,OK,15.35,OK,13.8,OK,21.64,64.75,0.901,1.147,190.2,14.77,0.1,808.296,49.05,2023,7,24,12,12
34.21,OK,3.49,OK,0.2,BDL,0.32,OK,16.58,OK,18.33,OK,15.93,91.4,4.407,5.724,120.2,9.37,0.1,807.885,2.12,2023,8,5,20,15
50.24,OK,2.15,OK,0.2,BDL,0.29,OK,17.37,OK,12.25,OK,14.35,88.3,2.166,3.564,164.4,29.01,0.2,807.889,,2023,8,2,22,49
42.52,OK,1.24,OK,0.2,BDL,0.02,BDL,13.38,OK,7.87,OK,15.98,82.9,1.49,2.458,248.5,16.24,0.1,807.516,,2023,7,23,1,56
42.93,OK,6.78,OK,0.2,BDL,0.12,OK,13.4,OK,11.49,OK,15.6,88.2,1.929,2.232,44.32,10.83,0.1,809.028,,2023,7,11,21,4
27.69,OK,2.12,OK,0.2,BDL,0.29,OK,34.25,OK,24.71,OK,15.39,96.9,0.357,0.737,93.2,19.48,0.3,805.744,0.599,2023,8,29,3,39
33.05,OK,1.72,OK,0.2,BDL,0.3,OK,2.0,BDL,14.89,OK,16.73,84.7,1.446,1.761,342.4,7.261,0.1,810.206,107.8,2023,7,25,11,28
42.15,OK,1.37,OK,0.2,BDL,0.2,OK,10.23,OK,7.1,OK,16.02,89.2,0.0,0.0,0.0,0.0,0.1,807.811,,2023,9,4,0,6
28.0,OK,1.98,OK,0.2,BDL,0.26,OK,13.8,OK,13.09,OK,15.21,97.8,0.816,0.973,252.2,4.164,0.1,805.526,,2023,8,29,4,35
56.93,OK,4.19,OK,0.2,BDL,0.24,OK,25.77,OK,15.07,OK,14.48,97.2,4.963,5.55,226.1,11.78,0.1,809.777,1.245,2023,8,11,23,55
27.16,OK,2.34,OK,0.2,BDL,0.25,OK,5.7,OK,2.0,BDL,16.36,98.0,0.0,0.0,0.0,0.0,0.1,805.009,0.277,2023,10,6,3,33
14.32,OK,2.6,OK,0.2,BDL,0.05,OK,14.24,OK,10.81,OK,16.9,93.9,0.297,0.748,125.4,4.161,0.2,806.866,0.369,2023,7,9,0,57
26.73,OK,2.51,OK,0.2,BDL,0.4,OK,10.13,OK,10.96,OK,15.13,98.0,0.0,0.0,0.0,0.0,0.2,805.519,,2023,8,29,4,43
39.76,OK,1.0,OK,0.2,BDL,0.23,OK,15.91,OK,15.4,OK,16.68,84.1,2.971,3.86,167.7,29.15,1.0,807.588,9.22,2023,8,14,23,18
32.23,OK,2.3,OK,0.2,BDL,0.34,OK,9.95,OK,11.93,OK,16.24,90.2,1.227,1.556,2.061,11.05,0.1,810.199,129.8,2023,7,25,11,44
