O3,O3_flag,NO2,NO2_flag,NO,NO_flag,CO,CO_flag,PM10,PM10_flag,PM2.5,PM2.5_flag,Temp_Avg,RH_Avg,WSpeed_Avg,WSpeed_Max,WDir_Avg,WDir_SD,Rain_Tot,Press_Avg,Rad_Avg,Year,Month,Day,Hour,Minute
32.97,OK,3.71,OK,0.69,OK,0.18,OK,2.0,BDL,2.0,BDL,18.54,74.67,1.739,1.946,278.7,13.08,0.0,807.027,258.9,2023,7,24,15,29
28.7,OK,3.83,OK,1.33,OK,0.31,OK,30.9,OK,2.0,BDL,19.83,70.76,2.714,3.103,55.36,10.2,0.0,806.315,988.0,2023,10,27,11,5
31.22,OK,3.77,OK,0.2,BDL,0.32,OK,26.72,OK,29.67,OK,21.04,70.32,1.251,1.792,278.0,8.5,0.0,803.764,,2023,9,19,19,20
18.06,OK,7.71,OK,0.2,BDL,0.56,OK,55.07,OK,36.7,OK,18.63,73.93,0.0,0.0,0.0,0.0,0.0,804.486,,2023,8,28,19,57
36.51,OK,4.81,OK,1.75,OK,0.29,OK,27.91,OK,17.65,OK,18.28,72.58,0.732,1.034,75.48,5.492,0.0,808.186,830.0,2023,9,18,9,35
11.0,OK,2.33,OK,0.2,BDL,0.25,OK,23.12,OK,12.38,OK,15.57,90.9,1.743,2.109,254.9,9.32,0.0,804.724,,2023,10,22,23,22
55.8,OK,5.08,OK,0.2,BDL,0.04,OK,31.96,OK,18.59,OK,24.13,45.15,0.579,0.829,21.1,22.43,0.0,806.058,215.7,2023,7,18,17,25
30.63,OK,0.97,OK,0.2,BDL,0.21,OK,9.88,OK,2.0,BDL,15.04,66.84,4.837,6.001,147.4,23.79,0.0,803.792,119.9,2023,12,27,17,37
5.06,OK,18.7,OK,1.73,OK,0.69,OK,32.65,OK,11.96,OK,18.09,79.14,0.983,1.188,15.45,2.849,0.0,805.894,,2023,11,11,20,20
10.03,OK,2.37,OK,0.2,BDL,0.25,OK,2.0,BDL,9.44,OK,4.8,98.7,1.027,1.188,240.1,1.342,0.0,806.447,,2023,12,12,5,25
