O3,O3_flag,NO2,NO2_flag,NO,NO_flag,CO,CO_flag,PM10,PM10_flag,PM2.5,PM2.5_flag,Temp_Avg,RH_Avg,WSpeed_Avg,WSpeed_Max,WDir_Avg,WDir_SD,Rain_Tot,Press_Avg,Rad_Avg,Year,Month,Day,Hour,Minute
8.77,OK,21.2,OK,4.83,OK,0.53,OK,2.0,BDL,2.0,BDL,9.88,95.3,1.039,1.362,310.9,7.121,0.1,807.75,45.91,2023,12,26,9,49
47.09,OK,5.9,OK,0.2,BDL,0.4,OK,50.37,OK,38.78,OK,19.81,76.03,1.488,1.772,121.8,10.16,0.1,804.335,44.94,2023,5,21,17,49
32.67,OK,8.8,OK,0.2,BDL,0.06,OK,20.65,OK,13.83,OK,14.87,98.2,1.725,1.894,359.7,5.119,0.1,809.083,0.968,2023,7,18,2,11
39.47,OK,1.0,OK,0.2,BDL,0.2,OK,2.0,BDL,4.38,OK,15.8,91.8,4.314,4.997,281.4,10.07,0.1,806.831,,2023,9,5,22,51
27.73,OK,2.82,OK,0.2,BDL,0.36,OK,4.49,OK,13.66,OK,15.2,98.1,1.678,1.843,307.7,3.306,0.1,805.472,,2023,8,29,5,0
52.85,OK,1.33,OK,0.2,BDL,0.2,OK,10.83,OK,11.17,OK,16.12,80.9,3.275,4.25,66.19,12.93,0.1,807.136,0.092,2023,6,28,0,16
45.63,OK,2.17,OK,0.2,BDL,0.34,OK,33.93,OK,28.83,OK,14.82,90.1,3.251,4.147,133.0,3.789,0.2,806.39,,2023,6,6,23,12
22.35,OK,2.88,OK,0.2,BDL,0.47,OK,2.0,BDL,2.0,BDL,9.68,95.8,0.79,0.911,51.01,0.034,0.1,805.152,,2024,2,17,2,28
58.67,OK,3.66,OK,0.2,BDL,0.02,BDL,22.38,OK,9.09,OK,18.24,62.93,6.112,7.639,111.9,11.12,0.1,807.016,0.046,2023,7,11,20,3
28.5,OK,1.89,OK,0.2,BDL,0.07,OK,4.97,OK,16.78,OK,15.9,95.0,1.0,2.171,300.4,31.94,0.1,805.511,,2023,7,7,2,6
29.95,OK,7.65,OK,0.2,BDL,0.38,OK,24.59,OK,18.11,OK,16.93,90.9,2.55,3.185,62.75,12.99,0.1,803.656,38.99,2023,10,25,15,26
32.78,OK,3.47,OK,0.2,BDL,0.34,OK,36.52,OK,39.88,OK,16.05,96.7,1.507,1.679,129.1,4.532,0.1,803.649,109.8,2023,10,25,16,0
39.55,OK,1.39,OK,0.2,BDL,0.05,OK,32.78,OK,26.3,OK,17.69,88.6,0.852,1.659,207.5,11.98,0.1,806.531,75.01,2023,7,23,14,40
21.72,OK,4.73,OK,0.2,BDL,0.49,OK,2.0,BDL,9.29,OK,10.37,91.8,1.191,1.475,6.532,9.57,0.1,806.261,,2024,2,16,23,37
31.81,OK,3.47,OK,0.2,BDL,0.31,OK,10.7,OK,13.56,OK,18.29,87.2,1.123,1.792,24.58,12.71,0.1,804.128,0.046,2023,10,3,19,34
27.15,OK,2.1,OK,0.2,BDL,0.17,OK,15.86,OK,2.0,BDL,20.3,77.51,3.369,3.564,166.5,5.709,0.1,804.962,243.5,2023,7,1,15,57
