Month,Day,O3
9,23,28.965541666666663
9,24,30.461305555555555
9,25,29.1420625
9,26,31.435319444444445
9,27,33.832874999999994
9,28,34.30513194444445
9,29,16.190994475138123
10,1,34.525691452397496
10,2,37.92851388888889
10,3,33.25427777777778
10,4,23.04182638888889
10,5,23.52146527777778
10,6,33.71615277777778
10,7,29.162694444444444
10,8,35.870263888888886
10,9,22.325222222222223
10,10,17.497222222222224
10,11,15.60669097222222
10,12,13.928822299651568
10,13,19.258461805555555
10,14,27.30856050069541
10,15,29.82270833333333
10,16,37.38441666666667
10,17,31.155881944444445
10,18,30.743368055555557
10,19,28.373631944444444
10,20,23.25568055555556
10,21,19.3663125
10,22,15.549097222222224
10,23,16.2088125
10,24,19.53570138888889
10,25,18.174041666666668
10,26,10.572917827298047
10,27,14.35184850590688
10,28,25.13354355400697
10,29,25.64980448950036
11,1,31.531659722222223
11,2,31.371569444444443
11,3,32.98795833333334
11,4,33.373555555555555
11,5,37.62560806115358
11,6,33.23253472222222
11,7,38.457125000000005
11,8,38.96289583333333
11,9,29.874208333333332
11,10,21.734222222222225
11,11,20.425317959468902
11,12,16.184617258176758
11,13,20.742756944444444
11,14,21.65880555555556
11,15,24.4300625
11,16,32.456875000000004
11,17,40.18366666666667
11,18,39.71960416666667
11,19,34.48417361111111
11,20,33.14384027777778
11,21,32.88072916666667
11,22,17.2278517397882
12,1,17.184868055555555
12,2,15.048225694444444
12,3,25.583901408450703
12,4,19.92018055555556
12,5,20.798784722222223
12,6,23.19620833333333
12,7,14.319409722222222
12,8,17.789777777777775
12,9,21.48265277777778
12,10,25.049916666666665
12,11,21.80946527777778
12,12,18.884631944444443
12,13,19.568284722222224
12,14,14.627116052814454
12,15,20.282835302293257
12,16,21.248860319666434
12,17,29.140208333333334
12,18,37.62855555555556
12,19,34.13065972222223
12,20,42.00321527777778
12,21,44.97535416666667
12,22,35.139854166666666
12,23,34.65788194444444
12,24,31.327361111111117
12,25,24.286708333333333
12,26,25.66252083333333
12,27,22.762666666666664
12,28,23.325229166666663
12,29,27.85879166666667
12,30,23.64385952208544
1,1,29.35556944444444
1,2,28.373055555555556
1,3,25.192409722222223
1,4,22.526027777777777
1,5,22.873069444444447
1,6,21.196875
1,7,16.354479166666668
1,8,17.027291666666667
1,9,19.806125
1,10,22.59813888888889
1,11,21.193416666666668
1,12,24.81572222222222
1,13,25.92910416666667
1,14,25.16539583333333
1,15,26.123548611111115
1,16,27.909770833333333
1,17,27.167145833333336
1,18,33.36979320531758
1,19,36.58883089770355
1,20,32.025777777777776
1,21,30.56284722222222
1,22,25.104875
1,23,23.709993055555557
1,24,25.29263888888889
1,25,24.49093055555556
1,26,22.230256944444445
1,27,24.762416666666663
1,28,31.744728457639397
2,1,30.100694444444443
2,2,27.539583333333333
2,3,35.753236111111114
2,4,36.71118055555556
2,5,45.00276388888889
2,6,42.50246527777778
2,7,42.22634027777778
2,8,40.31036805555556
2,9,38.49885416666667
2,10,34.491166666666665
2,11,32.07825
2,12,28.6599375
2,13,36.17859722222222
2,14,30.55161805555556
2,15,33.233645833333334
2,16,25.9076875
2,17,26.71636805555556
2,18,32.876201388888894
2,19,45.484631944444445
2,20,52.02514583333334
2,21,48.33290277777778
2,22,57.25498611111111
2,23,61.173902777777776
2,24,57.80980555555555
2,25,52.135645833333335
2,26,36.00194675540765
3,1,40.048145833333336
3,2,41.41460416666666
3,3,38.88227083333334
3,4,38.95588888888889
3,5,37.63310416666666
3,6,39.93408333333333
3,7,39.06909722222223
3,8,40.37890972222222
3,9,38.0923125
3,10,35.65232638888889
3,11,35.876756944444445
3,12,40.032868055555554
3,13,40.04170138888889
3,14,33.581867219917015
