Month,Day,O3
4,1,41.92834027777778
4,2,33.664145833333336
4,3,32.006076388888886
4,4,38.40700694444444
4,5,32.24795833333333
4,6,34.71211805555556
4,7,42.74701388888889
4,8,39.27136111111111
4,9,38.35505555555555
4,10,31.59933333333333
4,11,32.05447222222222
4,12,36.42123611111112
4,13,48.24828472222222
4,14,53.41093055555556
4,15,48.93819444444444
4,16,44.66847916666666
4,17,47.503395833333336
4,18,47.19511111111112
4,19,45.66423611111111
4,20,45.43418055555556
4,21,50.93453472222222
4,22,47.33742477256823
4,23,45.61479166666667
4,24,51.32558333333333
4,25,49.54078472222222
4,26,47.31720833333333
4,27,50.49930555555556
4,28,46.102284722222215
4,29,37.15773480662983
5,1,42.098597222222224
5,2,44.56038888888889
5,3,50.77761805555556
5,4,50.88180555555556
5,5,52.67316666666667
5,6,50.357875
5,7,46.95279166666667
5,8,41.35171527777778
5,9,44.57420138888889
5,10,44.63125
5,11,47.64417361111112
5,12,36.44812872467223
5,16,46.36608993902439
5,17,46.613937500000006
5,18,45.31896527777778
5,19,48.07225694444445
5,20,50.62408333333333
5,21,45.812041666666666
5,22,49.121090277777775
5,23,38.442125
5,24,44.47498611111112
5,25,24.28945091514143
6,1,43.86094444444445
6,2,51.76501388888889
6,3,50.53036111111111
6,4,47.22839583333333
6,5,49.99317361111111
6,6,45.39443055555556
6,7,43.06645138888889
6,8,43.40754861111111
6,9,46.80977777777778
6,10,43.47030555555556
6,11,45.44541666666667
6,12,45.59886805555555
6,13,48.23558333333334
6,14,50.8070625
6,15,42.99051112656468
6,16,39.696125
6,17,39.475208333333335
6,18,34.802083333333336
6,19,41.97205555555556
6,20,45.95
6,21,42.8440625
6,22,42.05464583333333
6,23,42.29879861111111
6,24,41.02654861111111
6,25,35.668909722222224
6,26,32.44148611111111
6,27,36.39019444444444
6,28,41.2050625
6,29,21.114088397790056
7,1,19.109270833333333
7,2,32.95679166666667
7,3,38.33725694444445
7,4,35.238729166666666
7,5,47.904465277777774
7,6,40.25185416666667
7,7,28.80428472222222
7,8,26.203569444444444
7,9,38.01149305555556
7,10,33.164145833333336
7,11,40.288243055555554
7,12,42.909333333333336
7,13,47.542125000000006
7,14,41.57513194444444
7,15,42.71929166666666
7,16,45.58594444444444
7,17,35.782520833333336
7,18,43.981625
7,19,50.90334722222223
7,20,43.22997216423104
7,21,37.51790277777778
7,22,35.121875
7,23,32.768819444444446
7,24,24.74651388888889
7,25,24.029611111111112
7,26,35.007083333333334
7,27,33.40092361111111
7,28,20.68875945537065
8,1,26.242395833333337
8,2,38.20175694444444
8,3,33.601256944444444
8,4,20.20654861111111
8,5,23.703125
8,6,24.30340277777778
8,7,21.88284942084942
8,8,36.13798611111111
8,9,38.20926388888888
8,10,35.13959027777778
8,11,34.97728472222222
8,12,60.749
8,13,44.13373611111111
8,14,36.554402777777774
8,15,30.77636805555556
8,16,30.354597222222225
8,17,18.99336805555556
8,18,18.93221527777778
8,19,23.778194444444445
8,20,29.56352777777778
8,21,26.71140972222222
8,22,33.59127083333333
8,23,31.95534722222222
8,24,27.448347222222225
8,25,29.207173611111116
8,26,33.41251388888889
8,27,29.07413194444445
8,28,22.71313888888889
8,29,30.51480086893556
9,1,31.2826875
9,2,37.63666666666667
9,3,42.66342361111112
9,4,34.462409722222226
9,5,31.37092361111111
9,6,30.402270833333333
9,7,26.88835416666667
9,8,30.03416550764951
9,9,32.78840972222222
9,10,32.40528472222222
9,11,36.23313888888889
9,12,33.48708333333333
9,13,40.152791666666666
9,14,39.56527083333333
9,15,33.72535416666667
9,16,33.16647916666667
9,17,30.418875
9,18,31.093493055555555
9,19,29.13805555555556
9,20,29.165444444444443
9,21,32.69744444444444
9,22,34.168909722222224
